date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.506944,15.819444,26.152778,0.0,0,12.3854165,57.253398000000004,1
2020-01-09,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.589285571428572,13.902778,28.819444,0.9887859999999999,0,11.466269857142859,53.06273214285714,2
2020-01-16,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.576389,12.0625,22.041667,75.995893,0,10.797619,65.473085,3
2020-01-23,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,19.923611,12.472222,26.4375,0.0,0,11.114087285714286,57.13233914285714,4
2020-01-30,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,9.0,0.0,18.083333285714286,12.993056,22.979167,0.938893,0,10.22519842857143,60.45132985714286,5
2020-02-06,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,2.0,0.0,18.62996014285714,12.236111,25.125,0.0,0,10.134920571428571,58.62810185714285,6
2020-02-13,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,1.0,0.0,20.28373014285714,12.756944,28.291667,0.0,0,11.982142857142858,59.68288857142857,7
2020-02-20,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,5.0,0.0,21.343254,11.520833,30.701389,0.0,0,10.548611,52.867659571428575,8
2020-02-27,AE,Q878,United Arab Emirates,9890400,24.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.33,6.0,0.0,24.01289685714286,18.513889,32.736111,0.0,0,15.361111142857142,59.780123571428575,9
2020-03-05,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,15.74,26.0,0.0,21.53769828571429,16.277778,29.805556,0.0,0,13.420635,60.47899871428571,10
2020-03-12,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,32.41,40.0,0.0,22.21726185714286,14.694444,30.423611,0.0,0,10.58730157142857,49.670075714285716,11
2020-03-19,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,45.37,51.0,2.0,25.13137742857143,14.968254,32.034722,0.108857,0,11.578798142857142,44.853651,12
2020-03-26,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,73.15,265.0,0.0,23.000992,16.590278,32.888889,23.027821,0,14.257936428571428,58.59646085714286,13
2020-04-02,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,84.26,859.0,7.0,25.480158714285714,18.020833,33.125,1.016,0,14.263889,52.14909742857143,14
2020-04-09,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,2096.0,7.0,28.750991857142857,19.020833,39.090278,0.0,0,12.739087428571427,40.463575,15
2020-04-16,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,2942.0,21.0,28.943594,21.673611,39.150794,5.483679,0,14.68877557142857,47.04551142857143,16
2020-04-23,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,87.04,2979.0,27.0,28.204365,19.951389,36.722222,0.167821,0,15.876984142857143,49.02198642857143,17
2020-04-30,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,87.04,3757.0,47.0,31.802380857142857,24.659722,40.611111,0.32657099999999994,0,14.43736757142857,38.297987285714285,18
2020-05-07,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,81.48,3755.0,63.0,32.19444442857143,23.638889,40.083333,0.072571,0,15.291666714285714,39.154263285714286,19
2020-05-14,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,75.93,5038.0,36.0,30.88789685714286,22.993056,39.354167,0.0,0,16.291666857142857,43.69066742857143,20
2020-05-21,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,74.07,6061.0,31.0,33.00496028571428,24.173611,41.548611,0.0,0,14.950396857142858,36.82605485714286,21
2020-05-28,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,72.22,5278.0,19.0,33.57242071428571,26.784722,41.826389,0.734786,0,18.75,43.23666171428572,22
2020-06-04,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,72.22,4472.0,14.0,35.593254,29.263889,42.451389,0.1905,0,19.740079428571427,41.180069,23
2020-06-11,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,72.22,3857.0,13.0,35.27480142857143,28.368056,43.541667,0.3175,0,23.285714285714285,52.78763828571429,24
2020-06-18,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,72.22,2646.0,13.0,35.30555542857143,27.958333,43.694444,0.0,0,21.92460314285714,49.421482857142855,25
2020-06-25,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,72.22,2828.0,10.0,34.49503957142857,28.145833,42.395833,0.0,0,23.797619142857144,55.31079185714286,26
2020-07-02,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,72.22,3168.0,8.0,35.969246,29.979167,42.319444,0.0635,0,23.88591242857143,51.135845714285715,27
2020-07-09,AE,Q878,United Arab Emirates,9890400,24.4,54.3,3.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,63.89,3909.0,12.0,36.605158857142854,29.972222,43.673611,0.0635,0,21.229166714285714,43.78293985714286,28
2020-07-16,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,2372.0,7.0,38.08149085714286,31.986111,45.576389,0.181429,0,20.861111142857144,39.08579771428571,29
2020-07-23,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,1827.0,6.0,36.908446857142856,30.698413,43.611111,0.30389299999999997,0,23.404478285714283,47.219469714285715,30
2020-07-30,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,2257.0,8.0,36.527210714285715,31.142857,42.555556,0.0,0,23.212018142857143,47.31839142857143,31
2020-08-06,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,1555.0,5.0,36.90958057142858,31.142857,45.896825,0.0,0,24.632086285714283,51.54424285714286,32
2020-08-13,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,1758.0,3.0,36.41666685714286,32.034722,43.006944,0.0,0,25.280754,54.74262628571429,33
2020-08-20,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,2374.0,11.0,36.33786842857143,31.1875,43.055556,0.0,0,26.926587285714284,59.79621614285714,34
2020-08-27,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,2708.0,9.0,36.0,31.090278,42.638889,1.93675,0,24.891865,53.79537242857143,35
2020-09-03,AE,Q878,United Arab Emirates,9890400,24.4,54.3,2.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,56.48,3865.0,8.0,36.13137757142857,29.159722,43.173611,1.36525,0,17.381944428571426,35.70100685714286,36
2020-09-10,AE,Q878,United Arab Emirates,9890400,24.4,54.3,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,54.63,5076.0,11.0,34.794642857142854,28.416667,42.506944,0.0,0,19.340277571428572,42.78590985714286,37
2020-09-17,AE,Q878,United Arab Emirates,9890400,24.4,54.3,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,54.63,5591.0,5.0,34.879251714285715,26.888889,43.388889,0.0,0,14.773809428571427,35.15419242857143,38
2020-09-24,AE,Q878,United Arab Emirates,9890400,24.4,54.3,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,54.63,6107.0,6.0,33.54761885714286,26.333333,41.631944,0.0,0,17.15873014285714,44.774733285714284,39
2020-10-01,AE,Q878,United Arab Emirates,9890400,24.4,54.3,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,54.63,6989.0,15.0,33.22222228571429,26.798611,41.118056,0.0635,0,17.082341285714286,41.92357328571428,40
2020-10-08,AE,Q878,United Arab Emirates,9890400,24.4,54.3,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,54.63,7475.0,18.0,32.75793657142857,26.298611,40.097222,0.0,0,18.84821414285714,46.552381000000004,41
2020-10-15,AE,Q878,United Arab Emirates,9890400,24.4,54.3,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,54.63,8845.0,13.0,31.190476285714286,22.694444,38.722222,0.0,0,15.166666714285714,40.54379957142857,42
