date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175,-2.0,11.2,0.0,0.0,-6.3444445,47.302757,1
2020-01-09,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3079364285714283,-4.222222,11.711111,0.381,0.0,-7.057142857142857,49.208820714285714,2
2020-01-16,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033840285714286,-3.648148,12.506173,3.266722,289.56,0.9350277142857142,75.82923057142857,3
2020-01-23,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.477072,-2.705556,12.861111,1.8415,0.0,-1.5313052857142857,67.27014128571429,4
2020-01-30,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22804242857143,-2.211111,13.709877,37.991344999999995,60.96,4.150441142857143,76.80541071428571,5
2020-02-06,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.893562428571428,-0.555556,16.061728,16.958733,235.58499999999998,2.1310404285714286,68.405462,6
2020-02-13,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702381000000001,-4.083333,16.91358,1.563511,369.57,1.138359857142857,64.34433971428571,7
2020-02-20,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,8.322045714285714,0.469136,16.061111,28.144610999999998,10.16,2.1808644285714283,66.76270285714286,8
2020-02-27,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,8.367724857142857,-1.2,18.377778,10.811933,200.66,0.33730171428571415,58.50978742857143,9
2020-03-05,AL,Q222,Albania,2862427,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,9.548853571428571,-1.15,19.666667,40.548277999999996,0.0,3.2662255714285715,65.98292428571429,10
2020-03-12,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,51.85,33.0,1.0,9.530335142857142,3.320988,20.203704,52.834117,129.54,4.958730285714286,74.05830485714286,11
2020-03-19,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,81.48,37.0,1.0,11.685815142857143,1.314815,22.31746,8.028214,10.16,2.842939142857143,56.65265171428571,12
2020-03-26,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,84.26,116.0,6.0,9.240189571428571,-0.604938,20.141975,7.182556,234.95,1.9145721428571427,62.387904142857145,13
2020-04-02,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,84.26,118.0,9.0,9.396163857142856,-0.895062,18.666667,26.458837,294.64,3.9279097142857142,70.15693485714286,14
2020-04-09,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,84.26,112.0,6.0,12.285934714285714,2.270833,20.648148,7.475361,71.12,-0.18077585714285713,47.01036857142857,15
2020-04-16,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,84.26,123.0,3.0,13.729827857142856,3.965278,23.034722,4.694464,0.0,3.5432099999999997,51.32214542857143,16
2020-04-23,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,139.0,1.0,13.850639285714285,5.4375,23.069444,19.2405,0.0,7.884149,68.68316185714285,17
2020-04-30,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,104.0,4.0,15.320987571428573,4.777778,22.969136,4.39561,0.0,7.732804142857143,61.504636,18
2020-05-07,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,68.0,0.0,15.000881714285713,6.5,22.302469,17.148527,0.0,7.180776142857143,61.217245428571424,19
2020-05-14,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,66.0,0.0,19.078483142857145,7.265432,31.919753,0.0,0.0,7.365079285714286,47.958825999999995,20
2020-05-21,AL,Q222,Albania,2862427,41.0,20.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,65.0,0.0,23.046075857142856,14.347222,32.358025,13.353143,0.0,12.872354428571429,55.149227999999994,21
2020-05-28,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,86.11,118.0,2.0,18.157738285714284,9.548611,27.152778,6.141357,0.0,8.261904714285714,53.48822785714286,22
2020-06-04,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,86.11,113.0,0.0,17.38492057142857,9.840278,26.381944,10.89025,0.0,9.877976142857142,62.17032457142857,23
2020-06-11,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,71.3,204.0,3.0,20.21726185714286,13.25,27.097222,20.782642,0.0,13.380952285714285,65.40187357142857,24
2020-06-18,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,71.3,422.0,6.0,20.84623014285714,12.673611,28.034722,10.463892999999999,0.0,14.207341285714287,66.29092257142858,25
2020-06-25,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,71.3,431.0,9.0,22.643849285714285,14.659722,30.173611,9.021536,0.0,15.025793714285713,62.77959128571428,26
2020-07-02,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,2.0,68.52,483.0,21.0,26.448302428571427,17.4375,33.944444,0.127,0.0,17.717041428571427,59.03300528571429,27
2020-07-09,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,2.0,68.52,526.0,13.0,24.831569714285713,16.537037,33.802469,18.4785,0.0,16.206349285714285,59.77945714285714,28
2020-07-16,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,62.96,628.0,22.0,24.399470857142855,15.975309,32.228395,5.023555999999999,0.0,14.702821857142856,55.63400857142857,29
2020-07-23,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,62.96,664.0,21.0,23.908289285714286,13.487654,33.197531,1.312333,0.0,15.073192,58.45686642857142,30
2020-07-30,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,62.96,706.0,29.0,26.34303357142857,17.765432,35.333333,0.0,0.0,16.599647,55.71193785714286,31
2020-08-06,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,62.96,875.0,32.0,25.905643571428573,17.512346,35.123457,28.455056,0.0,16.44709,57.79052357142857,32
2020-08-13,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,57.41,966.0,30.0,25.231922285714287,16.728395,32.895062,5.693833,0.0,16.966490285714286,60.967311571428574,33
2020-08-20,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,57.41,1002.0,21.0,25.75066157142857,17.347222,33.722222,3.499556,0.0,17.652888142857144,61.27566514285714,34
2020-08-27,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,57.41,1076.0,31.0,25.46737214285714,16.839506,33.932099,0.649111,0.0,17.09171057142857,60.333344714285715,35
2020-09-03,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,772.0,35.0,24.800374714285713,14.679012,34.493827,1.632857,0.0,15.281856285714285,56.013042142857145,36
2020-09-10,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,1054.0,21.0,23.95502657142857,13.45679,32.648148,0.0,0.0,14.052138428571428,54.67299928571429,37
2020-09-17,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,1052.0,26.0,25.607583714285713,16.987654,33.074074,0.1905,0.0,13.514991,48.52061471428571,38
2020-09-24,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,972.0,20.0,22.399470857142855,14.925926,29.604938,23.540861,0.0,14.811287428571429,63.609053714285714,39
2020-10-01,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,920.0,16.0,18.479938428571426,11.215278,28.765432,42.037,0.0,11.960097000000001,66.55597885714285,40
2020-10-08,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,1101.0,24.0,21.07043642857143,11.881944,30.6875,32.548286,0.0,14.625992142857143,68.27561114285714,41
2020-10-15,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,1435.0,30.0,16.42217828571429,9.694444,24.319444,88.81382099999999,0.0,11.312720285714287,72.42183485714285,42
2020-10-22,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,2055.0,26.0,14.319161,6.194444,21.666667,29.11475,0.0,8.467120285714286,68.57166657142857,43
2020-10-29,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,2078.0,33.0,14.572310571428572,6.055556,22.659722,21.553714,0.0,10.021605,74.52960385714286,44
2020-11-05,AL,Q222,Albania,2862427,41.0,20.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,54.63,2576.0,47.0,15.027777571428572,7.340278,21.868056,1.7417150000000001,0.0,10.779761857142859,76.06379242857143,45
2020-11-12,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,65.74,3491.0,56.0,13.196428571428571,6.069444,21.236111,0.0,0.0,6.729938428571429,65.63896671428571,46
2020-11-19,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,65.74,4758.0,67.0,12.641313857142858,6.180556,19.222222,0.6914440000000001,0.0,7.687059,72.55564528571429,47
2020-11-26,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,65.74,4786.0,99.0,9.469356285714285,0.472222,17.25,0.0,0.0,2.2728175714285714,61.86724642857143,48
2020-12-03,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,65.74,5057.0,99.0,9.126543142857143,0.567901,16.715278,7.883070999999999,0.0,3.3079805714285717,67.88046414285715,49
2020-12-10,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,65.74,5561.0,107.0,11.753968428571428,6.354167,18.8125,62.193714,0.0,6.924603285714285,73.61167914285714,50
2020-12-17,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,65.74,5141.0,89.0,8.750551285714286,3.381944,15.416667,8.694964,0.0,5.026014142857143,78.30587728571429,51
2020-12-24,AL,Q222,Albania,2862427,41.0,20.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,65.74,3376.0,68.0,8.697200285714285,3.013889,15.576389,0.525639,0.0,5.967199142857143,82.13021985714285,52
2020-12-31,AL,Q222,Albania,2862427,41.0,20.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,56.48,3343.0,52.0,11.815586285714286,6.826389,17.339506,98.52025,0.0,7.351851857142857,74.71744357142857,53
2021-01-07,AL,Q222,Albania,2862427,41.0,20.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,56.48,3655.0,44.0,9.61375657142857,2.746914,16.763889,70.48046400000001,0.0,5.358465714285714,75.84092257142856,1
2021-01-14,AL,Q222,Albania,2862427,41.0,20.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,60.19,4257.0,35.0,9.296406428571428,-0.697531,16.487654,114.041464,30.48,6.423501,82.54817828571429,2
2021-01-21,AL,Q222,Albania,2862427,41.0,20.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,60.19,4020.0,38.0,2.2468034285714285,-6.048611,11.314815,4.219726,574.04,-5.075837999999999,60.36904800000001,3
2021-01-28,AL,Q222,Albania,2862427,41.0,20.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,60.19,5695.0,55.0,6.869598714285714,-3.138889,13.17284,79.240944,281.94,1.39612,69.28970514285714,4
