date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,23.59375,17.194444,33.347222,0.0,0.0,16.3263885,64.75020549999999,1
2020-01-09,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,24.59126985714286,12.583333,35.284722,26.822400000000002,0.0,13.955357142857142,53.00579557142857,2
2020-01-16,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.39880957142857,13.215278,33.548611,61.350072,0.0,16.849206428571428,63.96992871428571,3
2020-01-23,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,14.0,0.0,25.947420571428573,15.631944,35.743056,20.118917,0.0,17.784722285714285,62.07153328571428,4
2020-01-30,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,6.0,0.0,24.771400142857143,14.365079,35.215278,12.377965,0.0,14.944586000000001,55.42636457142857,5
2020-02-06,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,4.0,0.0,25.803240857142857,14.203704,36.381944,61.0235,0.0,17.074074285714286,60.75421585714286,6
2020-02-13,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,3.0,1.0,22.38789685714286,15.416667,30.694444,26.869570999999997,0.0,17.236111285714284,73.292073,7
2020-02-20,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,2.0,0.0,23.20932542857143,11.6875,33.597222,40.142583,0.0,16.189484,65.52958428571428,8
2020-02-27,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,1.0,0.0,20.453373142857142,10.833333,31.263889,4.608286,0.0,11.125000142857143,55.65062157142857,9
2020-03-05,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,1.0,0.0,25.71626985714286,16.034722,34.305556,0.0,0.0,14.930555714285715,52.07764728571429,10
2020-03-12,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,39.0,2.0,25.00297585714286,17.020833,35.659722,29.6545,0.0,17.463293571428572,64.455167,11
2020-03-19,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0,75.0,103.0,2.0,20.864087285714284,12.041667,34.9375,29.305249999999997,0.0,15.407738142857143,72.37214057142857,12
2020-03-26,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,510.0,12.0,23.111110857142855,12.375,34.229167,55.97525,0.0,14.982142857142858,62.28928328571429,13
2020-04-02,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,699.0,25.0,21.200396714285713,11.291667,29.243056,15.693572,10.16,16.71825385714286,76.33627357142858,14
2020-04-09,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,667.0,47.0,17.362103142857144,6.979167,26.916667,0.0,0.0,8.364087285714286,55.94306771428571,15
2020-04-16,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,728.0,47.0,17.274801571428572,6.097222,26.409722,10.82675,10.16,9.230158714285713,59.777960428571426,16
2020-04-23,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,790.0,57.0,20.183531857142857,10.222222,29.840278,0.0,0.0,11.293650714285715,57.211503428571426,17
2020-04-30,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,996.0,75.0,18.577380857142856,6.138889,30.430556,22.696714,91.44,12.446853857142857,69.54312514285714,18
2020-05-07,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,88.89,1094.0,73.0,14.732142999999999,0.902778,25.118056,0.254,0.0,7.110119,60.71206185714285,19
2020-05-14,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,94.44,1866.0,76.0,14.061508,1.9375,25.923611,0.0,0.0,4.290674571428572,52.51560657142857,20
2020-05-21,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,90.74,3275.0,100.0,17.080357,4.25,31.381944,0.0,0.0,7.064484142857142,53.46875085714286,21
2020-05-28,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,90.74,4629.0,109.0,12.85019842857143,-1.770833,25.833333,0.0,0.0,1.917658857142857,48.96672285714286,22
2020-06-04,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,90.74,5681.0,172.0,9.614087285714286,-1.965278,21.902778,0.09525,0.0,2.495039857142857,62.207586285714285,23
2020-06-11,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,88.89,7951.0,234.0,12.124999857142857,0.833333,22.069444,0.0,0.0,5.977182428571429,66.82484914285715,24
2020-06-18,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,88.89,11162.0,310.0,11.737103,0.25,22.444444,0.036286,0.0,1.6259920000000003,51.52145471428572,25
2020-06-25,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,88.89,16341.0,381.0,10.145833428571427,-0.4375,20.680556,1.864179,0.0,3.105158857142857,63.532550571428565,26
2020-07-02,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,18013.0,536.0,7.608796142857143,-1.215278,16.236111,1.2382499999999999,0.0,0.6576278571428571,62.668964714285714,27
2020-07-09,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,22929.0,728.0,7.352733571428572,-2.703704,19.012346,0.516064,0.0,0.8315695714285714,63.90907957142857,28
2020-07-16,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,25699.0,975.0,8.928571571428572,-4.783951,19.654321,0.0,0.0,-0.5149911428571429,52.06168685714285,29
2020-07-23,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,35215.0,1128.0,10.414462,1.814815,21.345679,2.152952,0.0,6.726631571428571,79.82082528571428,30
2020-07-30,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,90.74,39166.0,1273.0,8.268077714285713,-4.32716,21.049383,0.169333,0.0,-3.955908285714286,42.834132857142855,31
2020-08-06,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,90.74,47188.0,1464.0,16.60052885714286,-0.092593,30.598765,7.902222,0.0,5.051146285714286,47.176516428571425,32
2020-08-13,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,87.96,49431.0,1466.0,11.268077571428572,-2.796296,24.765432,0.112889,0.0,-2.5493827142857137,40.85135114285714,33
2020-08-20,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,87.96,47982.0,1632.0,10.052028142857143,-6.152778,23.567901,0.0,0.0,-6.013227428571428,32.081275142857145,34
2020-08-27,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,87.96,61891.0,1745.0,13.489418,-3.243056,27.962963,0.653143,0.0,-0.6887124285714287,40.68791385714286,35
2020-09-03,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,87.96,71940.0,2040.0,11.475308571428572,1.709877,25.067901,3.918857,20.32,0.9144621428571428,50.775158857142856,36
2020-09-10,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,87.96,75219.0,2304.0,14.889439999999999,3.907407,27.659722,0.725714,0.0,6.291446428571429,57.57867328571428,37
