date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.525,-4.255556,4.488889,0.0,1440.18,-4.366667,78.96322599999999,1
2020-01-09,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9055557142857144,-5.094444,8.522222,12.485511,3761.74,-1.691269857142857,84.425786,2
2020-01-16,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3452381428571429,-4.305556,6.75,0.7112,4518.66,-2.767460285714286,82.71863271428572,3
2020-01-23,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26984100000000005,-4.605556,4.422222,8.9154,1886.373333,-2.6825395714285714,86.39120228571429,4
2020-01-30,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8396825714285715,-3.922222,7.361111,19.7104,3128.01,-1.4873015714285713,85.35893557142857,5
2020-02-06,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.497619,-4.755556,13.416667,82.21979999999999,2821.94,1.615873142857143,82.00322271428571,6
2020-02-13,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0238094285714285,-5.511111,10.844444,19.8628,4693.92,-2.3492062857142857,73.77141442857143,7
2020-02-20,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565873,-1.122222,12.961111,10.7823,3599.1800000000003,-0.1992064285714286,72.50921114285714,8
2020-02-27,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,4.0,0.0,4.792857142857143,-1.422222,15.705556,17.6784,1191.26,-0.46666657142857143,69.88763314285714,9
2020-03-05,AT,Q40,Austria,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,43.0,0.0,3.5468252857142857,-3.033333,10.522222,16.16075,1259.8400000000001,-0.8904764285714286,73.28578785714285,10
2020-03-12,AT,Q40,Austria,8858775,48.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,34.26,363.0,1.0,5.957936714285714,-0.794444,18.216667,17.633243999999998,3431.54,2.1603174285714286,77.20692485714287,11
2020-03-19,AT,Q40,Austria,8858775,48.0,14.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,81.48,1989.0,14.0,6.646031714285714,-1.816667,17.805556,2.7601329999999997,5450.84,-0.4261904285714286,61.80641514285714,12
2020-03-26,AT,Q40,Austria,8858775,48.0,14.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,81.48,4895.0,66.0,1.5555557142857144,-7.0,17.972222,9.279466999999999,3159.76,-4.619047428571428,64.95383028571429,13
2020-04-02,AT,Q40,Austria,8858775,48.0,14.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,81.48,4180.0,124.0,3.712963,-5.305556,15.222222,2.2606,3749.04,-3.4470899999999998,60.894760857142856,14
2020-04-09,AT,Q40,Austria,8858775,48.0,14.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,81.48,2008.0,159.0,10.025132285714287,-0.777778,20.453704,0.0,4320.54,-1.6018518571428573,45.43988028571429,15
2020-04-16,AT,Q40,Austria,8858775,48.0,14.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,81.48,1149.0,125.0,9.944444285714285,-3.277778,20.972222,6.688667000000001,1854.2,1.0555554285714286,54.809969,16
2020-04-23,AT,Q40,Austria,8858775,48.0,14.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,77.78,477.0,95.0,12.321428571428571,5.537037,22.398148,11.032067,756.92,2.5674602857142856,53.39764971428571,17
2020-04-30,AT,Q40,Austria,8858775,48.0,14.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,75.0,410.0,65.0,11.993650857142857,3.925926,22.338889,10.880372000000001,10.16,4.351587285714285,60.959782142857144,18
2020-05-07,AT,Q40,Austria,8858775,48.0,14.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,2.0,67.59,247.0,34.0,9.507142857142856,2.666667,18.744444,22.733,20.32,4.114285571428572,69.98169985714286,19
2020-05-14,AT,Q40,Austria,8858775,48.0,14.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,64.81,303.0,26.0,11.966666714285713,2.233333,24.822222,12.745861,74.93,6.827777714285714,72.16917171428571,20
