date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.842592500000002,23.092593,30.527778,4.351867,0,21.842592500000002,74.2574515,1
2020-01-09,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.337301571428572,22.037037,30.231481,20.150667000000002,0,21.91005285714286,76.84430157142857,2
2020-01-16,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.701058,22.851852,29.953704,20.997334000000002,0,21.421957714285718,72.91089871428571,3
2020-01-23,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,26.248677285714283,22.731481,30.166667,23.7744,0,21.711640142857142,76.37537042857142,4
2020-01-30,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,26.273809857142858,21.712963,30.351852,4.233333,0,22.068254,77.17991414285714,5
2020-02-06,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,27.060846571428574,23.453704,30.527778,1.0837320000000001,0,21.624338714285717,72.27188628571427,6
2020-02-13,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,26.665343857142858,22.259259,30.203704,13.453533,0,21.27645514285714,72.48921085714287,7
2020-02-20,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,26.25925942857143,20.407407,29.916667,20.252267,0,21.50132285714286,74.47296328571429,8
2020-02-27,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,26.284391571428568,20.037037,30.37963,16.145933,0,21.745238142857144,75.47187328571428,9
2020-03-05,BB,Q244,Barbados,287371,13.17,-59.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,26.433862428571427,22.148148,30.268519,3.4205330000000003,0,20.630952428571426,70.61159214285715,10
