date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4598765,-4.919753,6.925926,0.0,15.24,-3.8765435,68.708178,1
2020-01-09,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6208111428571428,-8.191358,13.388889,1.257904,172.72,-4.111111142857142,72.064875,2
2020-01-16,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6737212857142858,-3.888889,10.512346,0.0,10.16,-0.8077601428571428,84.45840042857142,3
2020-01-23,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2416224285714286,-5.802469,11.259259,0.112889,0.0,-2.911816428571428,75.77908171428571,4
2020-01-30,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.544973428571429,-6.790123,15.222222,1.213555,0.0,-0.35273371428571426,71.33517942857144,5
2020-02-06,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,8.020282,-3.512346,19.407407,40.322500000000005,420.37,1.824515,67.00013985714286,6
2020-02-13,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,2.711640142857143,-6.765432,13.67284,3.7211,604.52,-2.601410857142857,69.17259171428572,7
2020-02-20,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,5.843033571428571,-2.623457,16.950617,8.001,0.0,2.143738857142857,77.85159528571428,8
2020-02-27,BG,Q219,Bulgaria,7000039,42.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,7.819223857142857,-1.481481,19.833333,3.803953,0.0,0.8068782857142857,63.02311328571428,9
2020-03-05,BG,Q219,Bulgaria,7000039,42.75,25.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.3,0.0,0.0,8.879188714285714,-1.277778,22.123457,7.387167,0.0,3.0449735714285713,67.98081671428572,10
