date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.927083,18.4375,33.055556,0.0,0,3.2152779999999996,24.959567,1
2020-01-09,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57341285714286,15.5,35.875,0.0,0,7.154761714285714,31.84173942857143,2
2020-01-16,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.394180000000002,20.055556,36.583333,0.169333,0,13.686177142857144,43.91045571428572,3
2020-01-23,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.793650714285715,19.875,35.965278,0.0,0,10.235119,34.868082,4
2020-01-30,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48908714285714,18.986111,36.666667,0.0,0,3.5982142857142856,23.588828714285714,5
2020-02-06,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,27.651785571428572,19.125,36.25,0.0,0,4.762897000000001,25.743444285714286,6
2020-02-13,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,28.58333342857143,21.236111,36.319444,0.0,0,4.857142714285715,24.08634885714286,7
2020-02-20,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,29.501133714285714,21.173611,38.104167,0.0,0,7.943594142857143,29.60252542857143,8
2020-02-27,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,30.393849142857142,22.027778,38.743056,0.0,0,10.655754,33.154098,9
2020-03-05,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,30.935515857142857,23.486111,39.729167,1.04775,0,16.688492,45.97922071428572,10
2020-03-12,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.67,0.0,0.0,30.430886285714287,22.87037,38.796296,5.61975,0,18.942460285714283,52.24801742857143,11
2020-03-19,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,27.78,1.0,0.0,30.66269828571429,24.25,38.472222,2.576286,0,19.977513285714284,54.17363457142857,12
2020-03-26,BJ,Q962,Benin,12123198,8.833333,2.183333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,27.78,1.0,0.0,28.84523814285714,22.666667,37.638889,15.271749999999999,0,21.567460428571426,65.37073742857143,13
2020-04-02,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,10.0,0.0,30.148101142857143,23.201389,38.027778,23.327179,0,21.419926428571426,60.204287,14
2020-04-09,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,17.0,0.0,29.616071285714288,23.277778,37.597222,17.04975,0,22.059523714285714,64.21639357142858,15
2020-04-16,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,24.0,0.0,29.409722285714285,21.715278,36.936508,31.337249999999997,0,22.579365,66.96376371428572,16
2020-04-23,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,5.0,0.0,28.686838571428574,22.965278,35.118056,22.578786,0,22.773147857142856,70.70237128571429,17
2020-04-30,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,31.0,0.0,28.730158714285714,22.159722,36.055556,33.337500000000006,0,22.63690485714286,70.02364185714286,18
2020-05-07,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,7.0,0.0,29.104166714285714,23.409722,36.284722,21.537083,0,22.59863957142857,68.34478871428571,19
2020-05-14,BJ,Q962,Benin,12123198,8.833333,2.183333,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,70.83,34.0,0.0,28.02546285714286,22.729167,36.173611,39.031333,0,23.021731,74.57547442857143,20
2020-05-21,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,2.0,2.0,3.0,2.0,0.0,0.0,4.0,2.0,62.96,6.0,1.0,28.102843857142858,22.305556,35.479167,37.295667,0,23.156415285714285,74.74760557142858,21
2020-05-28,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,57.41,95.0,0.0,27.122023857142857,22.215278,35.166667,61.087,0,22.918650857142858,78.1834897142857,22
2020-06-04,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,57.41,29.0,1.0,27.175264571428574,21.736111,33.5625,24.182917,0,23.178240857142857,78.99049814285715,23
2020-06-11,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,181.0,2.0,25.750661428571426,19.930556,33.340278,79.883,0,22.301634571428572,81.496319,24
2020-06-18,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,208.0,5.0,26.410667142857143,21.361111,32.923611,39.628536,0,22.56920828571429,79.63974057142858,25
2020-06-25,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,474.0,3.0,26.692791142857143,21.909722,33.0625,27.061583,0,22.97023814285714,80.16542228571429,26
2020-07-02,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,75.0,7.0,25.69642842857143,21.375,32.229167,59.685463999999996,0,22.625992142857143,83.34878142857143,27
2020-07-09,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,86.0,2.0,25.783872,21.798611,32.1875,32.53105,0,22.60841842857143,82.82875885714286,28
2020-07-16,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,317.0,8.0,24.625991857142857,21.756944,28.944444,62.719857000000005,0,22.255952285714283,86.72040600000001,29
2020-07-23,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,168.0,4.0,24.723214285714285,21.506944,29.992063,42.51325,0,22.36578785714286,86.83931871428571,30
2020-07-30,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,35.0,1.0,24.866638285714284,21.291667,30.47619,66.974358,0,22.029762,84.40490457142857,31
2020-08-06,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,131.0,2.0,24.704223428571428,20.527778,31.142857,22.63775,0,21.10983557142857,80.66551642857144,32
2020-08-13,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,78.0,0.0,24.886101571428572,20.069444,31.990741,0.9525,0,20.72916657142857,77.918361,33
2020-08-20,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,101.0,1.0,25.204365,20.8125,31.708333,42.174583,0,22.065806857142857,82.95678014285714,34
2020-08-27,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,30.0,1.0,24.52281757142857,20.740741,29.888889,27.094845999999997,0,21.762566142857143,84.77421285714286,35
2020-09-03,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,68.0,0.0,24.694113714285713,21.1875,30.259259,35.3695,0,21.923280428571427,84.75499071428571,36
2020-09-10,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,41.67,29.0,0.0,24.51752657142857,20.944444,30.388889,63.478833,0,21.94212942857143,85.79522428571428,37
2020-09-17,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,47.22,38.0,0.0,25.167658857142857,20.740741,31.520833,43.459703,0,22.223167,83.91030657142858,38
2020-09-24,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,47.22,45.0,0.0,25.21990728571429,20.486111,31.729167,45.698833,0,21.990740857142857,82.45807114285715,39
2020-10-01,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,47.22,32.0,1.0,24.810515857142857,21.291667,31.659722,82.4865,0,22.064153285714287,84.87639714285714,40
2020-10-08,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,47.22,54.0,0.0,25.57572742857143,20.694444,33.148148,49.812727,0,22.25826742857143,82.04245628571428,41
2020-10-15,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,47.22,85.0,0.0,25.810515857142857,21.125,32.444444,48.509464,0,22.303288142857145,81.14009657142857,42
2020-10-22,BJ,Q962,Benin,12123198,8.833333,2.183333,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,47.22,61.0,0.0,26.580640714285714,21.368056,34.104167,15.126607,0,22.49971657142857,78.54082257142856,43
2020-10-29,BJ,Q962,Benin,12123198,8.833333,2.183333,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,43.52,86.0,0.0,27.045635,20.423611,34.340278,1.74625,0,20.032596285714284,66.64890814285714,44
2020-11-05,BJ,Q962,Benin,12123198,8.833333,2.183333,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,43.52,102.0,2.0,27.62882657142857,20.909722,35.1875,0.0,0,18.423044142857144,58.782143857142856,45
2020-11-12,BJ,Q962,Benin,12123198,8.833333,2.183333,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,40.74,99.0,0.0,27.518849142857142,20.416667,35.729167,0.0,0,17.436507857142857,55.58228342857143,46
