date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4953705,16.972222,28.083333,4.919133,0,18.064815000000003,76.7844245,1
2020-01-09,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.293650857142858,15.527778,29.027778,1.185334,0,15.994709,64.27336828571428,2
2020-01-16,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.824074,15.314815,30.037037,0.0,0,15.107142714285715,59.055929285714285,3
2020-01-23,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,23.16269828571429,16.407407,29.675926,14.435667,0,17.121693142857143,70.22045457142858,4
2020-01-30,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,23.361111,16.546296,29.166667,13.191067,0,17.620370285714284,71.16068028571428,5
2020-02-06,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,24.100529142857145,15.462963,30.953704,4.1063339999999995,0,15.784391714285714,60.901731857142856,6
2020-02-13,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,24.699735428571426,15.796296,31.388889,19.312467,0,14.847883571428572,55.89600785714286,7
2020-02-20,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,25.068783142857143,16.990741,31.583333,2.286,0,15.851851714285715,58.39576842857143,8
2020-02-27,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04,0.0,0.0,22.85317457142857,17.416667,29.462963,67.2846,0,18.170634857142858,76.13902814285714,9
2020-03-05,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04,0.0,0.0,24.067460428571426,17.685185,30.398148,17.822332999999997,0,17.48148157142857,67.51834842857143,10
2020-03-12,CO,Q739,Colombia,50882884,4.0,-73.25,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,34.26,13.0,3.0,23.888888714285713,17.962963,30.75,14.240933,0,17.539682714285714,68.90743457142857,11
2020-03-19,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,50.93,119.0,2.0,23.283068714285715,17.333333,28.703704,16.899467,0,17.90476185714286,72.688787,12
2020-03-26,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,87.96,372.0,10.0,23.228836142857144,15.666667,28.592593,9.838267,0,16.478835999999998,66.71103085714286,13
2020-04-02,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,87.96,685.0,30.0,23.176984142857144,18.888889,28.333333,27.491267,0,17.96507942857143,73.07844485714286,14
2020-04-09,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,87.96,1094.0,78.0,24.265873142857142,19.527778,28.416667,22.987,0,17.98148157142857,68.62227771428572,15
2020-04-16,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,87.96,1065.0,72.0,23.530423285714285,18.583333,28.0,15.612533,0,18.132275142857143,72.876937,16
2020-04-23,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,84.26,1376.0,66.0,23.770105714285712,19.185185,29.755556,45.550666,0,18.106084714285714,71.84865842857143,17
2020-04-30,CO,Q739,Colombia,50882884,4.0,-73.25,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,90.74,2019.0,115.0,24.241005285714287,18.088889,29.75,15.129933000000001,0,17.624074142857143,67.70740457142857,18
