date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5069445,21.104167,30.460317,0.0,0,20.170139,68.5960455,1
2020-01-09,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82128685714286,19.972222,30.951389,1.094619,0,19.873016,66.34998914285714,2
2020-01-16,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.259920714285716,21.875,31.291667,11.744475,0,20.187499857142857,65.93871271428571,3
2020-01-23,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.644841285714286,20.888889,30.826389,11.669789,0,20.52182542857143,69.73201885714286,4
2020-01-30,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.267857142857142,19.909722,30.9375,14.5796,0,20.406746,70.80650542857143,5
2020-02-06,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,27.142857142857142,20.409722,31.520833,8.817428,0,20.013889,65.70045042857143,6
2020-02-13,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,27.240079428571427,19.909722,32.083333,5.225143,0,19.762897000000002,64.56752642857143,7
2020-02-20,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,27.642857285714285,22.263889,31.9375,3.409346,0,19.998016,64.01671,8
2020-02-27,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,27.366071285714288,20.041667,32.326389,3.161393,0,19.230017142857143,62.08928471428572,9
2020-03-05,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,27.760912571428573,20.715278,32.652778,2.798535,0,19.23710314285714,60.74081014285714,10
