date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.920138999999999,8.159722,16.0,8.85825,0.0,8.3819445,79.1365165,1
2020-01-09,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.195436428571428,6.618056,16.951389,72.99325,50.8,7.752976142857142,74.88949942857143,2
2020-01-16,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.608134857142858,5.131944,17.902778,3.279321,0.0,6.770833285714285,68.16752428571428,3
2020-01-23,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.230158857142856,4.541667,17.25,19.05,20.32,4.287698428571429,63.83965014285714,4
2020-01-30,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.891865142857142,2.729167,18.145833,4.8895,0.0,5.186507714285715,64.92532657142857,5
2020-02-06,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.773809571428572,6.25,19.916667,4.92125,0.0,6.712301714285714,63.23013014285714,6
2020-02-13,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.542658571428571,1.597222,15.736111,15.521214,0.0,3.330357285714286,66.82906328571428,7
2020-02-20,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22420642857143,7.069444,18.152778,1.7145,0.0,6.714285571428571,65.35041728571429,8
2020-02-27,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.416666571428573,6.6875,19.173611,18.63725,0.0,8.555555428571429,72.91740271428571,9
2020-03-05,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,14.990079285714286,7.222222,21.652778,7.52475,0.0,9.292658857142857,69.24766214285715,10
2020-03-12,CY,Q229,Cyprus,875899,35.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22.22,14.0,0.0,15.977182571428571,8.298611,22.909722,1.68275,0.0,10.125,68.68327871428572,11
2020-03-19,CY,Q229,Cyprus,875899,35.0,33.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,51.85,53.0,0.0,14.141865,5.965278,20.763889,17.17675,20.32,8.583333428571429,70.15050071428571,12
2020-03-26,CY,Q229,Cyprus,875899,35.0,33.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,95.0,5.0,14.412698571428573,4.611111,21.173611,2.0955,0.0,7.271825428571428,63.09730185714285,13
2020-04-02,CY,Q229,Cyprus,875899,35.0,33.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,234.0,4.0,16.861111142857144,11.506944,21.659722,6.073321,0.0,10.836309428571427,68.12701957142858,14
2020-04-09,CY,Q229,Cyprus,875899,35.0,33.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,199.0,1.0,16.75637742857143,8.960317,23.465278,15.348856999999999,0.0,10.295209857142856,66.53474871428571,15
2020-04-16,CY,Q229,Cyprus,875899,35.0,33.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,94.44,140.0,2.0,17.731292714285715,9.261905,22.801587,5.696858,0.0,9.099773285714287,58.305293857142864,16
2020-04-23,CY,Q229,Cyprus,875899,35.0,33.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,94.44,69.0,2.0,19.821995428571427,11.063492,25.873016,0.0,0.0,10.653061285714285,56.42325771428572,17
2020-04-30,CY,Q229,Cyprus,875899,35.0,33.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,94.44,53.0,1.0,18.470521714285717,9.912698,24.293651,5.1888570000000005,0.0,12.120181285714285,67.20368057142858,18
2020-05-07,CY,Q229,Cyprus,875899,35.0,33.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,94.44,34.0,0.0,19.308531714285714,12.229167,24.409722,9.04875,0.0,12.914682571428571,67.27359342857143,19
2020-05-14,CY,Q229,Cyprus,875899,35.0,33.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,19.0,2.0,21.53869057142857,13.222222,32.013889,0.0,0.0,12.257936285714285,57.130300142857145,20
