date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3935185,21.925926,30.87963,2.032,0,23.310185,83.397443,1
2020-01-09,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.958730142857142,20.122222,30.768519,1.354667,0,22.06058214285714,79.40054185714287,2
2020-01-16,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.90449742857143,20.577778,30.055556,42.9006,0,21.775132142857142,83.10243442857143,3
2020-01-23,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.923280428571427,19.011111,30.25,10.494434,0,21.698677142857143,82.52298342857144,4
2020-01-30,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.291005285714284,19.680556,30.712963,3.386667,0,21.77447085714286,81.05311585714286,5
2020-02-06,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.634655857142857,19.4,31.6,4.402666,0,22.277513285714285,82.00860585714285,6
2020-02-13,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97354485714286,20.0,31.5,5.8166,0,21.938624428571426,78.69573214285715,7
2020-02-20,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.576984142857146,20.601852,30.712963,2.7178,0,22.163888857142858,81.68565685714286,8
2020-02-27,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.327381142857146,20.244444,31.122222,19.8628,0,21.86746042857143,81.34175614285714,9
2020-03-05,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,2.0,0.0,25.533068571428572,20.064815,30.675926,12.8905,0,22.28439142857143,82.56529942857142,10
2020-03-12,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,3.0,0.0,24.571957571428573,20.027778,30.922222,45.1485,0,21.636243142857143,83.96992771428572,11
2020-03-19,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,0.0,4.0,1.0,81.48,29.0,2.0,25.611111142857144,19.601852,30.685185,2.2225,0,21.470899285714285,78.264428,12
2020-03-26,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,547.0,18.0,25.838095285714285,19.2,31.138889,14.9606,0,21.44986785714286,77.15438371428571,13
2020-04-02,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,907.0,48.0,26.540476428571427,19.6,31.822222,0.1016,0,21.61084657142857,74.65907057142856,14
2020-04-09,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,861.0,50.0,27.261904714285713,20.977778,31.588889,1.8288,0,22.69047642857143,76.4051412857143,15
2020-04-16,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,1777.0,82.0,28.423809714285714,22.277778,33.3,0.0,0,23.026984,72.83021371428572,16
