date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.472222,5.444444,18.477778,0.0,0,2.6277774999999997,54.9884975,1
2020-01-09,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.261904857142857,4.522222,19.122222,0.0,0,2.3492064285714283,54.50966185714286,2
2020-01-16,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.836508,6.033333,25.344444,0.0,0,5.198412714285714,56.76471971428571,3
2020-01-23,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.911111142857143,5.088889,19.722222,0.0,0,4.561904857142857,57.24633185714286,4
2020-01-30,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.604762,4.322222,21.611111,0.0,0,3.388889,53.944002714285716,5
2020-02-06,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.614285714285714,6.0,25.3,0.0,0,5.155555714285714,53.822060571428565,6
2020-02-13,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.325396857142858,5.144444,24.4,0.0,0,3.3476191428571425,51.25220071428571,7
2020-02-20,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.914285714285715,7.744444,26.1,0.0,0,6.782539714285714,55.54279485714286,8
2020-02-27,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.987301714285715,6.9,26.733333,0.8128,0,5.0523808571428575,52.13217985714285,9
2020-03-05,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,18.068253857142857,7.888889,31.888889,0.0,0,4.623809571428572,42.83006557142857,10
2020-03-12,EG,Q79,Egypt,102334403,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,78.0,2.0,19.142857142857142,9.655556,30.966667,1.2192,0,6.644444428571428,45.97215371428571,11
2020-03-19,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,29.63,188.0,6.0,18.068254,9.088889,27.744444,0.2032,0,7.966666714285714,53.17191757142858,12
2020-03-26,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,251.0,22.0,19.61269842857143,7.655556,32.277778,0.0,0,4.546031857142857,38.60559057142857,13
2020-04-02,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,449.0,36.0,22.119047428571427,12.077778,31.566667,0.0,0,5.303174714285714,35.012047571428575,14
2020-04-09,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,809.0,69.0,22.657143,12.844444,35.011111,0.0,0,5.7301587142857136,34.70809157142857,15
2020-04-16,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,1050.0,70.0,21.379365,12.144444,33.9,0.0,0,4.457143,34.01112871428571,16
2020-04-23,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,1248.0,89.0,24.065079285714287,14.777778,36.2,0.0,0,7.696825571428572,37.207780142857146,17
2020-04-30,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,1803.0,112.0,25.14682528571429,15.6,36.513889,0.0,0,6.455158571428571,31.631847857142855,18
2020-05-07,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,2581.0,97.0,26.639682714285716,15.855556,37.166667,0.0,0,7.179364857142857,30.35730985714286,19
2020-05-14,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,2752.0,89.0,27.268254142857142,16.955556,37.988889,0.0,0,6.725396571428571,28.517004857142858,20
2020-05-21,EG,Q79,Egypt,102334403,27.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,84.26,4558.0,115.0,33.841269857142855,21.822222,43.944444,1.2192,0,11.036508142857143,25.720853142857145,21
2020-05-28,EG,Q79,Egypt,102334403,27.0,29.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,87.96,6296.0,172.0,26.676190428571427,16.922222,40.333333,0.0,0,8.982539714285714,34.51410514285714,22
