date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.555556,11.0,20.888889,0.0,0,9.777778,64.250945,1
2020-01-09,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.277777666666665,10.5,22.222222,0.0,0,11.611111,65.487863,2
2020-01-16,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.425926,5.611111,23.777778,0.0,0,5.296296333333333,48.129323666666664,3
2020-01-23,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.416667,8.0,25.222222,0.0,0,3.388889,45.4883945,4
2020-01-30,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.222222,23.388889,0.0,0,8.0,52.013468,5
2020-02-06,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.833333,11.0,22.611111,0.0,0,11.333333,61.737003,6
2020-02-13,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.611111000000001,10.0,23.888889,0.0,0,11.5277775,77.3858645,7
2020-02-20,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.444444,12.5,23.0,0.0,0,3.277778,34.263309,8
2020-02-27,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.611111,24.611111,0.0,0,5.944444,39.879504,9
2020-03-05,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,10
2020-03-12,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.11,0.0,0.0,19.7777775,12.0,25.222222,0.0,0,8.611111000000001,50.417595000000006,11
2020-03-19,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,22.22,0.0,0.0,22.277778,13.722222,24.0,0.0,0,11.388889,50.109098,12
2020-03-26,ER,Q986,Eritrea,3546427,15.483333,38.25,0.0,0.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,56.48,5.0,0.0,20.0,8.5,25.388889,0.0,0,-6.055556,16.688272,13
2020-04-02,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,14.0,0.0,22.916667,12.0,29.777778,0.0,0,3.6666665000000003,28.819684000000002,14
2020-04-09,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,14.0,0.0,,,,0.0,0,,,15
2020-04-16,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,1.0,0.0,21.833333,15.0,24.5,0.0,0,13.444444,58.922517,16
2020-04-23,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,4.0,0.0,,,,0.0,0,,,17
2020-04-30,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,,,,0.0,0,,,18
2020-05-07,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,,,,0.0,0,,,19
2020-05-14,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,,,,0.0,0,,,20
2020-05-21,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,,,,0.0,0,,,21
2020-05-28,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,,,,0.0,0,,,22
2020-06-04,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,2.0,0.0,,,,0.0,0,,,23
2020-06-11,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,,,,0.0,0,,,24
2020-06-18,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,101.0,0.0,,,,0.0,0,,,25
2020-06-25,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,25.0,0.0,,,,0.0,0,,,26
2020-07-02,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,48.0,0.0,,,,0.0,0,,,27
2020-07-09,ER,Q986,Eritrea,3546427,15.483333,38.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,17.0,0.0,,,,0.0,0,,,28
2020-07-16,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,19.0,0.0,,,,0.0,0,,,29
2020-07-23,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,10.0,0.0,14.777778,14.0,15.222222,9.906,0,13.5,92.057666,30
2020-07-30,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,18.0,0.0,16.583333500000002,14.0,19.0,6.096,0,14.6944445,88.670376,31
2020-08-06,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,6.0,0.0,16.388889,13.277778,21.611111,4.064,0,13.9444445,85.546206,32
2020-08-13,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,0.0,0.0,17.638889,13.388889,21.777778,0.0,0,14.1944445,80.26406449999999,33
2020-08-20,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,21.0,0.0,18.333333,13.611111,21.777778,16.002,0,15.166667,81.791832,34
2020-08-27,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,11.0,0.0,18.851851666666665,14.388889,23.222222,9.144,0,16.166666666666668,84.46070966666666,35
2020-09-03,ER,Q986,Eritrea,3546427,15.483333,38.25,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,89.81,13.0,0.0,17.777778,13.5,21.777778,5.08,0,14.611111,81.721322,36
2020-09-10,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,86.11,31.0,0.0,19.888889,11.611111,23.611111,0.0,0,13.166667,65.216635,37
2020-09-17,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,82.41,3.0,0.0,18.333333,12.0,22.777778,0.0,0,13.833333,75.043375,38
2020-09-24,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,82.41,5.0,0.0,19.814815,10.777778,24.777778,11.938,0,9.907407333333333,52.820271999999996,39
2020-10-01,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,82.41,12.0,0.0,20.833333,9.0,26.0,0.0,0,8.0,44.310709,40
2020-10-08,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,82.41,24.0,0.0,20.19444425,12.222222,24.0,0.0,0,9.18055575,50.29525,41
2020-10-15,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,82.41,17.0,0.0,19.34722225,8.388889,23.0,0.0,0,6.26388875,43.63683875,42
2020-10-22,ER,Q986,Eritrea,3546427,15.483333,38.25,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,82.41,39.0,0.0,19.342592666666665,10.0,22.888889,0.0,0,6.101852,42.16759366666667,43
