date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0219905,22.125,30.731481,1.30175,0,20.7627315,72.8925975,1
2020-01-09,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.256094285714287,21.404762,31.52381,16.513023999999998,0,22.983938,77.68098628571428,2
2020-01-16,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.40589585714286,23.666667,31.851852,36.816393000000005,0,24.169737285714287,82.72950214285713,3
2020-01-23,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,26.909439,21.537037,31.527778,29.601583,0,22.46220728571429,77.02611814285714,4
2020-01-30,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,27.447845857142855,23.203704,32.481481,4.821464,0,23.588435285714286,79.61532971428572,5
2020-02-06,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,27.74933842857143,23.25,32.648148,69.225584,0,24.28802914285714,81.55839528571428,6
2020-02-13,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,28.47817471428571,24.611111,32.611111,29.337,0,25.14880957142857,82.23202728571428,7
2020-02-20,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,27.33730142857143,21.361111,32.694444,10.3505,0,22.019841142857143,72.90474300000001,8
2020-02-27,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,27.33994714285714,21.833333,32.083333,9.630832999999999,0,23.10846557142857,77.90582085714286,9
2020-03-05,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,27.746031714285714,22.694444,33.0,15.24,0,23.950396714285713,79.93109228571429,10
2020-03-12,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,26.504629714285716,23.138889,31.340278,136.17575,0,24.458663857142856,88.66118485714286,11
