date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.172068,6.694444,15.425926,0.0,0.0,7.5185185,79.02395899999999,1
2020-01-09,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.235449571428571,3.62963,14.419753,2.338916,0.0,6.806878285714285,85.20774814285714,2
2020-01-16,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.088403857142858,4.416667,18.641975,3.309056,0.0,6.589396,84.47901442857143,3
2020-01-23,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.624338571428572,5.37037,14.796296,0.451555,0.0,6.466490285714286,81.28827957142857,4
2020-01-30,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.715167428571428,4.104938,14.438272,2.906888,0.0,5.330687714285714,79.78161285714285,5
2020-02-06,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.883156999999999,4.277778,17.024691,0.638528,0.0,5.915344,77.09539657142857,6
2020-02-13,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.86563042857143,3.611111,15.736111,0.66675,0.0,7.5942617142857145,85.25906842857144,7
2020-02-20,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.13293642857143,5.117284,14.820988,2.735036,0.0,6.207231142857142,82.436153,8
2020-02-27,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.000881857142858,4.5,16.049383,1.3335,0.0,6.173721142857143,82.966045,9
2020-03-05,FK,Q9648,Falkland Islands,3483,-51.73,-59.22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.974426857142857,2.907407,16.135802,0.7690549999999999,0.0,6.660493857142858,80.30852242857144,10
