date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1
2020-01-09,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2
2020-01-16,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3
2020-01-23,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,4
2020-01-30,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,0.0,0,0,0,0,0.0,0.0,5
2020-02-06,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,0.0,0,0,0,0,0.0,0.0,6
2020-02-13,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,0.0,0,0,0,0,0.0,0.0,7
2020-02-20,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8
2020-02-27,GE,Q4962,Georgia,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.44,3.0,0.0,0.0,0,0,0,0,0.0,0.0,9
2020-03-05,GE,Q4962,Georgia,3989175,0,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,41.67,6.0,0.0,0.0,0,0,0,0,0.0,0.0,10
2020-03-12,GE,Q4962,Georgia,3989175,0,0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,45.37,16.0,0.0,0.0,0,0,0,0,0.0,0.0,11
2020-03-19,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,59.26,23.0,0.0,0.0,0,0,0,0,0.0,0.0,12
2020-03-26,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,90.74,42.0,0.0,0.0,0,0,0,0,0.0,0.0,13
2020-04-02,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,67.0,0.0,0.0,0,0,0,0,0.0,0.0,14
2020-04-09,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,76.0,3.0,0.0,0,0,0,0,0.0,0.0,15
2020-04-16,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,152.0,0.0,0.0,0,0,0,0,0.0,0.0,16
2020-04-23,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,71.0,2.0,0.0,0,0,0,0,0.0,0.0,17
2020-04-30,GE,Q4962,Georgia,3989175,0,0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,126.0,3.0,0.0,0,0,0,0,0.0,0.0,18
2020-05-07,GE,Q4962,Georgia,3989175,0,0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,96.3,44.0,2.0,0.0,0,0,0,0,0.0,0.0,19
2020-05-14,GE,Q4962,Georgia,3989175,0,0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,96.3,51.0,2.0,0.0,0,0,0,0,0.0,0.0,20
2020-05-21,GE,Q4962,Georgia,3989175,0,0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,96.3,46.0,0.0,0.0,0,0,0,0,0.0,0.0,21
