date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,301.0,26.0238095,19.706349,32.960317,0.0,0,6.626984500000001,30.3552005,1
2020-01-09,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.70183,18.061728,35.987654,0.0,0,9.823412857142857,35.767964,2
2020-01-16,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.04314385714286,22.819444,36.513889,1.23825,0,14.441424285714286,44.318707,3
2020-01-23,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.012185,22.388889,36.611111,0.0,0,14.321261714285715,43.16801114285715,4
2020-01-30,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,28.583664,21.185185,36.722222,0.0,0,9.462522285714286,33.480605857142855,5
2020-02-06,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,28.88007042857143,21.493056,36.438272,0.0,0,9.885582142857142,33.891352999999995,6
2020-02-13,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,29.917217857142855,23.487654,36.652778,0.0,0,9.296957714285714,30.624637857142858,7
2020-02-20,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,30.184949,21.787037,37.574074,0.0,0,12.645660000000001,37.89231585714286,8
2020-02-27,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,30.933752285714288,22.0,38.388889,0.0,0,13.299162142857142,37.65769042857143,9
2020-03-05,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,31.595553142857142,24.611111,39.4,2.253746,0,18.672436428571427,50.106202571428575,10
2020-03-12,GH,Q117,Ghana,31072945,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.33,3.0,0.0,30.065366,24.715278,37.351852,21.311304999999997,0,21.561287571428572,62.01668942857143,11
2020-03-19,GH,Q117,Ghana,31072945,8.0,-0.5,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,50.0,24.0,0.0,30.64350285714286,25.320988,37.396825,7.886096,0,22.566720428571426,63.25428442857143,12
2020-03-26,GH,Q117,Ghana,31072945,8.0,-0.5,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,52.78,110.0,0.0,28.693905857142855,22.571429,35.861111,29.581929,0,22.58985257142857,70.11021671428571,13
2020-04-02,GH,Q117,Ghana,31072945,8.0,-0.5,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,67.0,0.0,30.006157142857145,23.246032,36.65873,14.405933000000001,0,22.849710285714284,66.43506685714286,14
2020-04-09,GH,Q117,Ghana,31072945,8.0,-0.5,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,173.0,0.0,29.678681714285712,23.423611,36.027778,7.52475,0,23.046737285714283,68.12561171428571,15
2020-04-16,GH,Q117,Ghana,31072945,8.0,-0.5,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,263.0,0.0,29.328647142857143,22.805556,36.092593,38.01231,0,23.106954,69.24228328571428,16
