date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,27.756944500000003,24.0,31.305556,0.6985,0,23.416666499999998,77.48281349999999,1
2020-01-09,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.84365071428571,22.75,31.722222,13.0048,0,23.197619142857143,76.27407442857144,2
2020-01-16,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.89682528571429,22.4,32.9,0.508,0,23.803174714285714,78.7939827142857,3
2020-01-23,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.08650785714286,23.4,33.244444,5.5245,0,24.054365,79.217695,4
2020-01-30,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.476984285714284,23.0,32.305556,0.0,0,24.209920714285715,78.14102171428571,5
2020-02-06,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.243518571428574,23.333333,32.622222,2.1336,0,23.962169285714285,77.99566528571428,6
2020-02-13,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.928571428571427,24.0,32.3,1.9304,0,23.873016,79.11937514285715,7
2020-02-20,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.216269714285716,23.25,32.902778,5.2705,0,23.484127142857144,75.83250114285714,8
2020-02-27,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.316137571428573,23.666667,32.902778,56.7055,0,24.015211714285716,77.885137,9
2020-03-05,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.27711642857143,24.25,33.277778,0.0,0,24.360449714285714,75.204922,10
2020-03-12,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.240873142857144,22.333333,33.462963,47.963667,0,24.071957857142856,78.69331957142857,11
2020-03-19,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,28.80595242857143,24.2,32.977778,45.804667,0,24.49206342857143,77.85950685714286,12
2020-03-26,GQ,Q983,Equatorial Guinea,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,27.085185142857142,22.8,32.077778,1.524,0,23.542857285714287,81.47085085714286,13
