date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.0555555,2.611111,6.194444,0.0,0,2.2222220000000004,91.3466265,1
2020-01-09,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.801587142857143,0.333333,10.222222,0.0,0,1.126984,84.49189514285715,2
2020-01-16,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,5.376984142857142,2.25,11.861111,0.0,0,2.392857,80.32219614285714,3
2020-01-23,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.968254,1.055556,11.944444,0.0,0,1.456349142857143,78.896352,4
2020-01-30,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.892857,0.055556,9.694444,0.0,0,0.9087304285714286,76.14066457142857,5
2020-02-06,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,6.968254,3.0,14.111111,0.0,0,3.4761902857142855,80.45554857142858,6
2020-02-13,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,6.079365142857142,0.305556,14.194444,0.0,0,1.4603174285714287,74.24458100000001,7
2020-02-20,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,5.793650857142857,2.555556,14.444444,0.0,0,3.206349285714286,87.21468414285714,8
2020-02-27,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.892857142857143,2.138889,9.944444,0.0,0,3.000000142857143,89.85799414285715,9
2020-03-05,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.162698428571429,0.166667,8.805556,0.0,0,0.5317462857142857,80.12500371428573,10
2020-03-12,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0.888889,11.166667,0.0,0,2.5952381428571427,88.97506285714285,11
2020-03-19,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,5.079365285714286,0.638889,10.472222,0.0,0,1.6031747142857142,84.64860328571429,12
2020-03-26,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.876984,-1.111111,12.361111,0.0,0,1.6666667142857143,83.31638514285714,13
2020-04-02,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,3.6309524285714287,-0.361111,9.166667,0.0,0,0.3095238571428572,81.84643842857143,14
2020-04-09,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,4.805555571428572,-0.805556,13.416667,0.0,0,2.2142855714285714,87.41334814285713,15
2020-04-16,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,5.154762,-2.694444,13.972222,0.0,0,1.1190477142857145,85.341299,16
2020-04-23,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,2.642857,-1.305556,9.944444,0.0,0,-0.13492071428571428,84.833529,17
2020-04-30,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,0.6190475714285714,-3.166667,6.222222,0.0,0,-2.5,77.53558114285714,18
2020-05-07,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,0.15079371428571428,-5.555556,5.194444,0.0,0,-3.0,78.93790957142858,19
2020-05-14,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-0.6349205714285714,-4.722222,3.833333,0.0,0,-2.420634857142857,83.59616857142858,20
2020-05-21,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-2.6547618571428573,-6.5,1.666667,0.0,0,-4.714285571428571,78.364599,21
2020-05-28,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-1.095238285714286,-5.166667,5.805556,0.0,0,-2.8809524285714287,83.22580985714285,22
2020-06-04,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-1.5238095714285715,-6.805556,3.972222,0.0,0,-1.6031745714285714,90.03369557142857,23
2020-06-11,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,2.543650857142857,-1.555556,7.611111,0.0,0,1.3571428571428572,93.68333214285714,24
2020-06-18,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-0.873015857142857,-5.861111,4.861111,0.0,0,-3.0,83.87081671428572,25
2020-06-25,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-0.9523809999999999,-4.388889,3.111111,0.0,0,-1.7380951428571427,88.62270242857143,26
2020-07-02,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-5.166666571428571,-8.611111,-3.111111,0.0,0,-8.488095142857143,75.58063342857143,27
2020-07-09,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-4.107142857142857,-8.777778,0.166667,0.0,0,-7.642857285714285,76.529702,28
2020-07-16,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-3.373016,-8.694444,0.138889,0.0,0,-6.7619048571428575,77.77453585714285,29
2020-07-23,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-2.452381,-7.75,1.638889,0.0,0,-6.2936508571428575,75.2350897142857,30
2020-07-30,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-2.309523857142857,-8.083333,3.111111,0.0,0,-5.734127142857143,77.24085542857142,31
2020-08-06,GS,Q35086,South Georgia and the South Sandwich Islands,30,-54.25,-36.75,0,0,0,0,0,0,0,0,0,0,0,0,-2.3690474285714282,-9.111111,3.638889,0.0,0,-3.8253969999999997,86.67905971428571,32
