date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,17.552777499999998,14.994444,20.661111,0.3556,0,13.592593,77.7210665,1
2020-01-09,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,20.347619,14.944444,26.255556,0.0508,0,15.711904714285714,74.67179285714285,2
2020-01-16,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,18.66587285714286,13.311111,24.238889,0.575733,0,13.646825428571429,73.05974785714285,3
2020-01-23,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,2.0,0.0,18.261111142857143,13.877778,26.044444,0.3302,0,13.420194,73.72794657142857,4
2020-01-30,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,49.07,10.0,0.0,14.776984142857144,9.177778,25.266667,27.432,0,7.884479714285715,65.84070971428572,5
2020-02-06,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,52.78,12.0,1.0,16.513491857142856,9.327778,20.938889,6.7056,0,11.378306857142857,72.72526428571429,6
2020-02-13,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,52.78,29.0,0.0,17.516666714285716,13.905556,23.566667,5.715,0,14.139329857142858,80.84021057142857,7
2020-02-20,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,52.78,16.0,1.0,15.999999857142857,8.644444,22.9,49.0474,0,9.746913571428573,68.14906085714286,8
2020-02-27,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,52.78,24.0,1.0,20.34788371428571,14.092593,27.65,0.0,0,15.81128757142857,75.05910157142857,9
2020-03-05,HK,Q8646,Hong Kong,7496988,22.278333,114.158611,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,52.78,12.0,1.0,19.988888857142857,14.811111,26.783333,3.747911,0,16.495767142857144,80.44118885714285,10
