date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1888885,-3.95,8.711111,0.0,111.76,-4.8456790000000005,67.3030755,1
2020-01-09,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920635714285714,-6.183333,9.65,0.0254,20.32,-5.2495591428571435,63.970892285714285,2
2020-01-16,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6960318571428568,-4.133333,11.494444,0.0,0.0,-0.7868165714285714,77.37684128571428,3
2020-01-23,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6412698571428572,-3.433333,9.35,2.466622,59.024762,-1.9223985714285714,78.88192685714286,4
2020-01-30,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.107936285714286,-3.033333,12.255556,13.456355,91.44,1.8518517142857145,79.94413157142857,5
2020-02-06,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,0.0,0.0,8.287301571428571,-2.35,15.161111,11.695289,10.16,2.4100527142857144,67.96033057142857,6
2020-02-13,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,0.0,0.0,6.209259142857143,-3.516667,13.572222,2.136422,0.0,0.27028228571428564,65.94135271428571,7
2020-02-20,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,0.0,0.0,7.426190428571429,-0.961111,14.855556,14.720711,193.04,1.542328142857143,66.66468171428572,8
2020-02-27,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,5.0,0.0,7.242063428571429,-1.344444,14.316667,16.538221999999998,2318.173333,0.23985885714285718,61.606125000000006,9
2020-03-05,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,6.0,0.0,8.082539857142857,-2.733333,14.888889,31.600423,513.9266670000001,0.8959435714285713,61.295306999999994,10
