date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4479165,2.173611,11.048611,2.6035000000000004,0.0,5.6284725,88.312443,1
2020-01-09,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.947420714285714,0.6875,13.451389,16.990786,10.16,5.0277777142857145,87.7736902857143,2
2020-01-16,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.950992285714285,0.798611,12.277778,31.076900000000002,0.0,3.7867064285714287,86.13240185714287,3
2020-01-23,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5902778571428575,-3.1875,9.756944,1.6192499999999999,701.04,3.1363378571428577,90.49799599999999,4
2020-01-30,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.417658714285714,0.236111,11.229167,20.669251,180.34,3.5982144285714286,88.25005228571429,5
2020-02-06,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,6.3630951428571425,0.263889,12.145833,13.598071000000001,0.0,3.8452381428571427,84.06581957142858,6
2020-02-13,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4.940475999999999,0.479167,11.076389,79.121,81.28,2.6448412857142856,85.22655557142856,7
2020-02-20,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.859127,1.743056,10.430556,56.29275,10.16,3.305555714285714,83.85361471428571,8
2020-02-27,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.56,0.0,0.0,5.046627,-0.395833,10.451389,51.380570999999996,60.96,2.820436571428572,85.61955671428572,9
2020-03-05,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,18.0,1.0,4.124008,-1.847222,11.645833,27.94,30.48,1.5317459999999998,83.33104757142857,10
2020-03-12,IE,Q22890,Ireland,4904240,53.333333,-8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,31.48,72.0,1.0,6.914881142857142,0.6875,11.5625,40.4749,970.28,4.475595142857143,84.575067,11
2020-03-19,IE,Q22890,Ireland,4904240,53.333333,-8.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,48.15,593.0,3.0,6.150198571428571,-0.296296,12.145833,20.014393000000002,10.16,3.4271384285714284,82.95776157142858,12
2020-03-26,IE,Q22890,Ireland,4904240,53.333333,-8.0,3.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,57.41,1438.0,49.0,6.905754142857143,-1.916667,12.986111,3.592286,0.0,3.184524,77.52927714285714,13
2020-04-02,IE,Q22890,Ireland,4904240,53.333333,-8.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,85.19,2152.0,121.0,6.510912714285714,-0.604167,12.333333,1.582964,0.0,2.364087428571428,75.29060385714286,14
2020-04-09,IE,Q22890,Ireland,4904240,53.333333,-8.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,90.74,3816.0,279.0,9.319444571428571,1.979167,16.798611,5.388429,0.0,5.398809428571428,76.710965,15
2020-04-16,IE,Q22890,Ireland,4904240,53.333333,-8.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,90.74,5891.0,341.0,9.419642857142858,-1.326389,17.916667,5.42925,0.0,5.146825285714286,74.91436285714285,16
2020-04-23,IE,Q22890,Ireland,4904240,53.333333,-8.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,90.74,4204.0,291.0,10.141865,3.805556,17.090278,1.4922499999999999,0.0,5.7311508571428575,74.50775271428572,17
