date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1785715,2.253968,13.798611,0.0,0.0,0.578869,59.6893945,1
2020-01-09,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016865,0.583333,14.761905,0.0,0.0,0.9413265714285715,62.348833571428564,2
2020-01-16,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.054563428571429,1.833333,13.513889,0.03175,0.0,3.001559142857143,70.95151785714286,3
2020-01-23,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,9.000992142857143,1.625,14.75,11.46175,0.0,3.7249149999999998,70.61563757142856,4
2020-01-30,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,3.0,0.0,10.466411285714287,3.069444,15.375,9.456057000000001,0.0,7.387471714285715,81.75255085714286,5
2020-02-06,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.44,0.0,0.0,11.680272285714285,4.0,17.520833,1.050169,0.0,5.232567857142857,69.32262942857143,6
2020-02-13,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.44,0.0,0.0,10.369312142857142,0.763889,18.194444,0.767543,0.0,3.8179232857142855,65.99961071428571,7
2020-02-20,IT,Q38,Italy,60359546,42.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.44,0.0,0.0,10.216364428571428,1.87963,15.611111,6.6140799999999995,20.32,2.97808,62.74895314285714,8
2020-02-27,IT,Q38,Italy,60359546,42.5,12.5,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,64.35,771.0,17.0,10.624889714285715,1.444444,17.148148,2.611261,71.12,3.8116181428571427,64.14610757142857,9
2020-03-05,IT,Q38,Italy,60359546,42.5,12.5,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,74.54,3208.0,131.0,10.184634142857144,3.17284,14.148148,25.583243000000003,769.62,3.845679,67.33714257142857,10
2020-03-12,IT,Q38,Italy,60359546,42.5,12.5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,82.41,11255.0,868.0,10.528439142857142,3.018519,17.179012,7.958567,1221.74,3.871031857142857,65.001189,11
2020-03-19,IT,Q38,Italy,60359546,42.5,12.5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,82.41,25922.0,2389.0,12.345348285714286,5.691358,18.512346,0.522111,20.32,5.350969999999999,63.964780714285716,12
