date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.300926,5.833333,10.688889,1.1684,0.0,7.460185,94.608499,1
2020-01-09,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.187830857142858,3.981481,12.601852,10.253133,0.0,7.462963142857142,89.16428242857144,2
2020-01-16,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.305555428571429,5.064815,12.722222,26.957867,0.0,6.969576714285714,85.47834342857142,3
2020-01-23,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.375661285714286,1.981481,10.759259,6.468533,0.0,3.0648147142857143,79.55980357142857,4
2020-01-30,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.509259285714285,2.564815,12.203704,18.127133,0.0,5.950529285714285,89.85163414285715,5
2020-02-06,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.084656142857144,2.481481,12.333333,26.195866000000002,0.0,7.097883571428571,87.77038657142857,6
2020-02-13,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.394179857142857,2.944444,12.953704,30.420733,0.0,5.449735428571429,81.823701,7
2020-02-20,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.26322757142857,5.75,13.490741,39.226067,0.0,6.843915428571429,84.91890142857143,8
2020-02-27,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.575396857142858,4.083333,11.861111,20.489333000000002,0.0,6.041269857142857,84.18477242857143,9
2020-03-05,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.685185,3.981481,11.574074,39.251467,0.0,4.992063571428572,83.32307257142858,10
2020-03-12,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,2.0,0.0,9.30026457142857,4.518519,12.37037,33.9852,0.0,6.978835857142857,85.69769671428571,11
2020-03-19,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,10.0,0.0,8.742063428571429,4.259259,12.722222,4.174067,0.0,5.920635,82.769727,12
2020-03-26,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,22.0,1.0,7.9576720000000005,3.009259,14.296296,7.916333,0.0,3.2222224285714285,72.67655114285715,13
2020-04-02,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,76.0,1.0,7.297619142857143,4.111111,11.083333,1.261533,0.0,2.206349285714286,70.29167085714286,14
2020-04-09,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,73.0,2.0,12.213756571428572,4.322222,20.231481,0.626533,0.0,7.897354714285714,75.79526514285715,15
2020-04-16,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,40.0,6.0,13.010582142857144,5.574074,23.666667,0.220133,0.0,6.384656142857144,65.17878128571428,16
2020-04-23,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,53.0,9.0,11.919047857142857,6.981481,19.157407,15.366999,0.0,8.753174428571429,80.84413028571429,17
2020-04-30,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,14.0,3.0,10.968783,7.064815,15.477778,16.594666,0.0,9.011640142857143,87.87984871428571,18
2020-05-07,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,3.0,3.0,12.161375428571429,6.722222,20.855556,15.637933,0.0,9.431746,84.26867185714286,19
2020-05-14,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,4.0,2.0,11.300264571428572,6.333333,19.583333,4.4958,0.0,6.125132428571428,71.17933728571428,20
2020-05-21,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,9.0,2.0,12.85873,5.655556,22.416667,0.4064,0.0,9.119047714285715,78.3447012857143,21
2020-05-28,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,2.0,0.0,15.041005428571427,10.046296,22.361111,0.364066,0.0,9.979100428571428,72.53890357142858,22
2020-06-04,JE,Q785,Jersey,105500,49.19,-2.11,0,0,0,0,0,0,0,0,0,0,1.0,1.0,15.922486857142857,9.962963,22.407407,6.595533,0.0,10.235978714285716,70.01194471428572,23
