date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6296295,22.222222,31.259259,0.0,0,21.907407499999998,75.411283,1
2020-01-09,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.560846571428574,22.259259,31.592593,0.762,0,21.33862442857143,73.16977842857143,2
2020-01-16,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.03439142857143,22.37037,32.407407,2.794,0,20.267195714285716,66.76778514285715,3
2020-01-23,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.19047614285714,18.37037,31.296296,8.636,0,19.084656142857142,69.43260342857143,4
2020-01-30,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.73280414285714,19.037037,30.592593,1.016,0,18.878307,70.0314187142857,5
2020-02-06,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,26.039682571428575,20.907407,31.574074,5.757333,0,21.034391714285714,74.13040342857143,6
2020-02-13,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,26.671957857142853,21.981481,32.296296,0.084667,0,21.031746285714284,71.43958871428572,7
2020-02-20,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,26.619047714285717,21.87037,32.462963,6.688667,0,21.243386285714283,72.55091657142857,8
2020-02-27,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,26.314814857142856,21.925926,31.888889,6.1806659999999995,0,21.312169285714283,74.10436871428571,9
2020-03-05,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,25.984127142857144,21.574074,31.62963,9.567333,0,20.870370428571427,73.64587171428572,10
2020-03-12,JM,Q766,Jamaica,2961161,18.18,-77.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,30.56,8.0,0.0,25.595238,20.759259,32.592593,5.08,0,20.150793571428572,72.0279587142857,11
2020-03-19,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,1.0,2.0,3.0,0.0,3.0,2.0,3.0,1.0,71.3,7.0,1.0,26.671957428571428,21.092593,31.518519,0.0,0,20.021163857142856,67.05669285714286,12
2020-03-26,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,0.0,3.0,2.0,4.0,1.0,75.0,11.0,0.0,26.412698428571428,21.574074,31.574074,0.084667,0,20.417989428571428,69.78112071428572,13
2020-04-02,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,21.0,2.0,26.693121714285716,21.666667,32.148148,0.846667,0,20.719576857142858,69.91206242857143,14
2020-04-09,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,16.0,1.0,27.12962942857143,22.777778,31.87037,0.0,0,21.920634857142858,73.27660257142858,15
2020-04-16,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,88.89,80.0,1.0,27.862433714285714,22.87037,32.925926,5.926665999999999,0,23.095238285714288,75.40761771428572,16
2020-04-23,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,89.81,114.0,2.0,28.03703714285714,23.592593,32.833333,4.910667,0,22.780423428571428,73.20009214285713,17
2020-04-30,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,165.0,1.0,28.338624285714285,23.777778,32.833333,2.794,0,22.637566285714286,71.34404571428571,18
2020-05-07,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,66.0,1.0,27.780423285714285,23.648148,32.462963,21.082,0,23.084656285714285,75.70698928571429,19
2020-05-14,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,21.0,0.0,28.224867714285715,23.407407,32.611111,31.75,0,23.253968285714286,74.57660657142857,20
2020-05-21,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,25.0,0.0,28.280423428571428,23.111111,33.0,57.996667,0,23.301587428571427,74.65599057142857,21
2020-05-28,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,34.0,0.0,28.17460314285714,23.574074,32.962963,9.652,0,23.82275142857143,77.46714085714287,22
2020-06-04,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,23.0,1.0,28.126984285714286,23.962963,32.648148,18.880665999999998,0,23.33333342857143,75.38646642857144,23
2020-06-11,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,20.0,0.0,28.518518714285715,24.12963,32.87037,16.256001,0,23.637566285714286,75.03063885714286,24
2020-06-18,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,84.26,27.0,0.0,27.962962857142855,23.462963,32.666667,51.392667,0,23.693121714285716,77.78032900000001,25
2020-06-25,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,75.93,46.0,0.0,29.275132285714285,24.407407,33.796296,5.842,0,24.314814714285717,74.83150185714285,26
2020-07-02,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,75.93,31.0,0.0,28.780423285714285,23.703704,33.62963,6.688666,0,23.90740728571429,75.06352442857143,27
2020-07-09,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,75.93,38.0,0.0,28.97619042857143,24.462963,33.87037,4.064,0,24.238095285714287,75.75632871428571,28
2020-07-16,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,75.93,12.0,0.0,29.09259242857143,24.092593,33.703704,8.974668000000001,0,23.743386285714283,73.05472571428571,29
2020-07-23,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,75.93,56.0,0.0,28.362433714285714,24.425926,33.666667,13.123334,0,23.455026571428572,74.85674285714286,30
2020-07-30,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,70.37,43.0,0.0,29.17989414285714,24.240741,34.87037,7.196666,0,23.81481457142857,72.99407028571429,31
2020-08-06,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,70.37,94.0,2.0,29.01322742857143,24.703704,34.203704,25.569333,0,24.383597714285713,76.27682828571429,32
2020-08-13,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,73.15,113.0,2.0,29.201058142857143,24.833333,34.0,4.318,0,23.888888857142856,73.25566414285716,33
2020-08-20,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,73.15,219.0,1.0,29.164021285714284,24.740741,34.12963,8.297334,0,24.264550285714286,75.01455814285714,34
2020-08-27,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,78.7,580.0,4.0,28.611111142857144,23.574074,33.777778,89.53500000000001,0,23.973545,76.16292885714286,35
2020-09-03,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,78.7,1026.0,10.0,28.785714285714285,23.5,33.240741,10.329333,0,24.349206428571428,77.07164571428572,36
2020-09-10,JM,Q766,Jamaica,2961161,18.18,-77.4,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,78.7,615.0,11.0,28.10052914285714,23.555556,32.796296,39.666334,0,23.79100514285714,77.555459,37
2020-09-17,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,75.0,1060.0,15.0,28.415344,23.944444,32.962963,18.118666,0,24.253968285714286,78.30646214285714,38
2020-09-24,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,75.0,1152.0,25.0,28.788359857142858,24.259259,32.944444,13.292666,0,24.10846571428571,75.949947,39
2020-10-01,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,75.0,981.0,36.0,28.40211642857143,23.166667,33.314815,19.600334,0,23.772486714285716,76.09611128571429,40
2020-10-08,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,75.0,659.0,16.0,27.899471142857145,23.611111,33.0,65.489667,0,23.653439285714285,77.83131857142858,41
2020-10-15,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,75.0,769.0,30.0,28.33862442857143,23.722222,32.62963,15.790332999999999,0,24.198412571428573,78.33101242857143,42
2020-10-22,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,506.0,20.0,27.33068785714286,22.592593,33.148148,47.582667,0,23.624338714285717,80.32446142857144,43
2020-10-29,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,367.0,23.0,27.224867714285715,22.851852,32.62963,115.273667,0,23.81481457142857,81.78062942857142,44
2020-11-05,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,421.0,13.0,26.642857142857142,22.333333,32.240741,62.568666,0,23.5,83.10257357142858,45
2020-11-12,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,297.0,9.0,26.62433842857143,22.259259,31.574074,106.722333,0,23.724867714285715,84.34361228571427,46
2020-11-19,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,428.0,8.0,27.174603285714284,22.87037,32.222222,8.128,0,22.875661142857144,77.46992685714285,47
2020-11-26,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,449.0,15.0,26.375661428571426,22.833333,31.12963,20.362333,0,22.439153285714287,79.15462557142858,48
2020-12-03,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,387.0,10.0,26.343915285714285,21.62963,31.12963,2.116666,0,21.06084642857143,72.83650671428572,49
2020-12-10,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,522.0,10.0,25.923280428571427,21.62963,30.87037,8.508999999999999,0,21.484127,76.64133242857143,50
2020-12-17,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,530.0,13.0,26.24603185714286,21.5,31.296296,0.084667,0,21.626984285714286,75.81394142857143,51
2020-12-24,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,558.0,11.0,26.39682542857143,22.12963,31.666667,0.592667,0,21.621693142857143,75.15764271428573,52
2020-12-31,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,318.0,9.0,25.796296285714284,21.037037,31.574074,5.672667000000001,0,20.735449857142857,73.761887,53
2021-01-07,JM,Q766,Jamaica,2961161,18.18,-77.4,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,496.0,4.0,25.420635,19.759259,31.111111,0.0,0,19.039682571428575,67.89662814285714,1
2021-01-14,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,581.0,16.0,25.685185285714287,20.37037,30.833333,29.464,0,21.378306857142857,77.2434372857143,2
2021-01-21,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,666.0,9.0,26.039682714285714,20.87037,30.87037,4.148667,0,21.166666714285714,74.65068842857143,3
2021-01-28,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,804.0,13.0,26.293650857142858,21.462963,30.666667,0.169333,0,21.201058,73.76826700000001,4
2021-02-04,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,71.3,1051.0,12.0,24.82804242857143,19.740741,30.240741,37.676667,0,19.095237857142855,70.725617,5
2021-02-11,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,74.07,2014.0,11.0,25.898148000000003,21.240741,30.759259,0.592667,0,21.228394833333333,75.63041933333334,6
2021-02-18,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,74.07,2054.0,23.0,26.462963000000002,21.981481,30.833333,0.084667,0,21.154321,72.79621833333333,7
2021-02-25,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,74.07,1890.0,22.0,25.984567833333333,21.425926,30.666667,2.116667,0,20.86111083333333,73.60343416666667,8
2021-03-04,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,74.07,2305.0,30.0,26.166666714285714,21.62963,31.62963,0.423333,0,20.177248714285714,69.92750014285714,9
2021-03-11,JM,Q766,Jamaica,2961161,18.18,-77.4,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,74.07,4611.0,37.0,25.97089957142857,21.462963,31.333333,3.344333,0,20.449735428571426,71.73547771428572,10
