date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5777775,2.061111,11.172222,4.1656,0.0,0.42500000000000004,65.5447915,1
2020-01-09,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,8.211904857142857,1.9,16.744444,27.295122,0.0,2.341269857142857,67.41009242857142,2
2020-01-16,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78,1.0,0.0,6.831746285714286,1.894444,11.827778,5.507567,0.0,1.2333335714285714,68.12109814285714,3
2020-01-23,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,1.0,0.0,7.600793571428572,0.694444,12.105556,21.733227999999997,0.0,1.8785715714285713,68.21470371428572,4
2020-01-30,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,11.0,0.0,9.130158714285715,4.6,15.238889,21.421371999999998,0.0,3.6126984285714285,69.02970428571429,5
2020-02-06,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.44,12.0,0.0,5.3912698571428574,-1.177778,12.222222,6.829778,0.0,-1.884126857142857,60.12094642857143,6
2020-02-13,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.44,15.0,1.0,6.481745857142857,-1.288889,18.283333,8.889294,0.0,0.24523800000000012,65.08489814285714,7
2020-02-20,JP,Q17,Japan,126476458,35.0,136.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,25.0,65.0,0.0,8.061111285714286,1.461111,14.488889,31.523517,0.0,3.0666665714285712,71.88246671428571,8
2020-02-27,JP,Q17,Japan,126476458,35.0,136.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,34.26,125.0,4.0,8.138889,1.716667,14.4,20.447705,0.0,1.5896825714285714,64.21955842857143,9
2020-03-05,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,43.52,178.0,1.0,8.651587285714285,3.583333,16.783333,23.6601,0.0,2.5626985714285717,66.739121,10
2020-03-12,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,43.52,308.0,16.0,10.423809571428572,1.327778,18.616667,49.403,0.0,3.8563491428571433,65.25254571428572,11
2020-03-19,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,40.74,280.0,13.0,9.525397,0.511111,21.088889,14.032794,0.0,2.4857142857142853,62.13838728571428,12
2020-03-26,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,40.74,503.0,14.0,11.779365142857143,3.733333,20.644444,1.174044,0.0,1.3079367142857143,49.38626442857143,13
2020-04-02,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,40.74,1436.0,20.0,11.561111,4.466667,16.916667,52.795311,0.0,7.587301571428571,77.25295314285714,14
2020-04-09,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,45.37,3070.0,25.0,12.172222142857143,4.972222,20.9,0.254,0.0,1.1539682857142857,47.53832557142857,15
2020-04-16,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,47.22,3790.0,60.0,11.317460285714287,5.138889,20.233333,52.971700000000006,0.0,3.495238,60.68264385714286,16
2020-04-23,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,47.22,3034.0,180.0,13.656349,6.316667,19.811111,52.312711,0.0,7.085714285714286,65.67039057142857,17
2020-04-30,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,47.22,1716.0,124.0,14.95793642857143,5.361111,24.533333,3.612445,0.0,4.681745857142857,51.320797000000006,18
2020-05-07,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,47.22,1083.0,143.0,19.516666714285716,11.422222,27.666667,5.8758669999999995,0.0,11.765873,62.154622714285715,19
2020-05-14,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,47.22,592.0,117.0,19.91904757142857,11.577778,27.444444,9.62025,0.0,10.678571285714286,57.277438714285715,20
2020-05-21,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,40.74,284.0,86.0,19.12777757142857,13.838889,26.25,90.53406700000001,0.0,13.904761857142857,72.99331857142857,21
2020-05-28,JP,Q17,Japan,126476458,35.0,136.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,40.74,248.0,78.0,22.18452385714286,14.55,26.527778,5.0165,0.0,14.596428428571429,63.266716428571435,22
2020-06-04,JP,Q17,Japan,126476458,35.0,136.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,34.26,300.0,33.0,22.873809571428573,14.611111,30.305556,5.0482499999999995,0.0,14.964285714285714,62.374684571428574,23
2020-06-11,JP,Q17,Japan,126476458,35.0,136.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,28.7,246.0,15.0,24.752381000000003,17.038889,30.644444,14.31925,0.0,17.45079357142857,65.57218857142857,24
2020-06-18,JP,Q17,Japan,126476458,35.0,136.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,28.7,375.0,13.0,24.08730171428571,17.977778,30.594444,98.1075,0.0,19.360317428571427,76.67114928571428,25
2020-06-25,JP,Q17,Japan,126476458,35.0,136.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,28.7,428.0,33.0,24.150793714285715,17.244444,30.844444,57.0103,0.0,18.071428571428573,69.78181642857143,26
