date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,22.2492285,15.648148,28.027778,0.9595560000000001,0,15.498457,66.8765215,1
2020-01-09,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.990299714285715,15.783951,28.209877,12.954,0,16.615520142857143,72.628141,2
2020-01-16,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.816027428571427,14.888889,27.919753,44.450001,0,16.590277714285715,73.46073742857142,3
2020-01-23,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,22.781305142857143,15.592593,28.654321,8.664221999999999,0,15.454144571428571,65.69906457142858,4
2020-01-30,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,21.734568,17.209877,26.222222,22.212402,0,17.296296285714284,77.7168087142857,5
2020-02-06,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,22.07231057142857,15.858025,27.790123,32.09925,0,16.350969857142857,71.96014571428572,6
2020-02-13,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,22.726741714285712,13.975309,30.240741,3.390699,0,14.584325285714286,61.647423571428575,7
2020-02-20,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,23.002975999999997,16.401235,29.808642,7.7061779999999995,0,16.260141142857144,68.07170014285714,8
2020-02-27,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,23.51146357142857,16.888889,30.277778,14.982472000000001,0,16.310405714285714,66.17967357142858,9
2020-03-05,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,23.37389771428571,16.975309,29.851852,22.597937,0,16.616402,67.91364814285714,10
2020-03-12,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,23.63062185714286,16.567901,30.191358,23.711203,0,17.365410142857144,69.82460528571428,11
2020-03-19,KE,Q114,Kenya,53771300,0.1,38.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,59.26,6.0,0.0,23.559082857142858,17.222222,30.111111,8.593665999999999,0,17.279541571428574,69.55793757142857,12
2020-03-26,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,72.22,24.0,0.0,22.550925857142857,16.54321,28.623457,19.076207,0,16.74162257142857,70.96078028571428,13
2020-04-02,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,91.0,3.0,22.734567857142856,16.666667,28.901235,77.377269,0,17.238977,72.34381514285714,14
2020-04-09,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,67.0,0.0,22.933862285714287,17.012346,28.364198,21.432761,0,16.836860857142856,69.74627571428572,15
2020-04-16,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,57.0,3.0,22.90917114285714,16.030864,29.259259,33.475587,0,17.400352571428574,72.406898,16
2020-04-23,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,90.0,3.0,21.580246857142857,17.302469,27.277778,106.059111,0,17.776014142857143,80.21428285714285,17
2020-04-30,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,75.0,7.0,21.281305,16.709877,26.395062,81.050694,0,17.664021142857145,80.4430787142857,18
2020-05-07,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,210.0,9.0,22.007054571428572,17.339506,27.561728,68.156667,0,17.669312285714287,77.41028485714286,19
2020-05-14,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,160.0,16.0,22.111111,16.432099,28.555556,30.7975,0,16.96649042857143,74.02736857142857,20
2020-05-21,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,380.0,5.0,21.553681714285712,14.530864,26.987654,34.404905,0,16.45414457142857,74.21738685714286,21
2020-05-28,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,584.0,12.0,21.755731857142855,15.87037,27.703704,4.28625,0,16.003527428571427,71.1438617142857,22
2020-06-04,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,729.0,17.0,21.46119942857143,14.271605,27.512346,4.995334,0,14.814814857142858,66.95364257142857,23
2020-06-11,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,831.0,17.0,20.813051285714288,13.617284,27.395062,31.927901000000002,0,15.376543285714286,72.91806014285714,24
2020-06-18,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,1069.0,23.0,19.95679014285714,15.191358,25.796296,26.190223,0,15.027336857142856,75.707617,25
2020-06-25,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,1159.0,18.0,20.819350000000004,14.015873,26.074074,11.333239,0,15.037918857142857,71.29786814285714,26
2020-07-02,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,1655.0,17.0,20.690419428571428,13.993827,27.544444,4.205111,0,14.305347571428571,68.049451,27
2020-07-09,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,2260.0,27.0,20.376543142857145,13.506173,25.425926,4.426354,0,14.135802571428572,68.92750685714286,28
2020-07-16,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,2614.0,41.0,20.05643757142857,12.722222,26.537037,6.477,0,14.229276857142859,70.90310314285715,29
2020-07-23,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,4206.0,52.0,19.374779571428572,13.416667,25.395062,4.174369,0,12.971119857142856,68.60453228571428,30
2020-07-30,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,4368.0,67.0,20.09788371428571,14.290123,25.450617,9.129889,0,13.832451571428573,68.77092514285714,31
2020-08-06,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,4502.0,72.0,20.22310428571429,12.790123,26.833333,1.8767779999999998,0,13.216931142857144,64.95954414285714,32
2020-08-13,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,73.15,4196.0,52.0,20.29453271428571,14.123457,26.95679,12.724694,0,14.224867714285713,69.942898,33
2020-08-20,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,70.37,2429.0,67.0,20.43298042857143,14.820988,27.0,5.744028,0,14.694885571428571,71.245704,34
2020-08-27,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,70.37,1867.0,35.0,20.121693,15.296296,26.444444,10.870596,0,14.536155285714285,71.76025985714286,35
2020-09-03,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,1254.0,22.0,21.142857142857142,12.802469,27.654321,0.402167,0,13.059964857142857,61.240246000000006,36
2020-09-10,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,909.0,27.0,19.26895942857143,13.388889,26.04321,20.573999,0,14.545855285714286,76.53898657142858,37
2020-09-17,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,931.0,30.0,21.75308642857143,14.623457,29.222222,1.354666,0,14.057319285714286,62.637312,38
2020-09-24,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,983.0,36.0,21.013315714285714,14.877778,27.905556,4.591756,0,14.240476142857144,66.445786,39
2020-10-01,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,1216.0,43.0,21.379982428571427,14.87037,29.270833,14.115344,0,15.01948842857143,68.71465985714285,40
2020-10-08,KE,Q114,Kenya,53771300,0.1,38.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,50.0,1697.0,30.0,22.812610142857146,14.691358,29.679012,0.112889,0,12.860405714285715,54.08362314285715,41
2020-10-15,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,43.52,2960.0,58.0,22.99717814285714,16.283333,29.358025,11.178117,0,14.69118157142857,60.68913071428572,42
2020-10-22,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,43.52,4263.0,71.0,21.58095242857143,16.288889,27.922222,20.661489,0,14.951587285714286,67.65365457142858,43
2020-10-29,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,43.52,5954.0,97.0,21.353328857142856,16.105556,28.177778,26.867957999999998,0,15.877910142857143,73.17523357142856,44
2020-11-05,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,54.63,6907.0,112.0,20.787345714285713,16.191358,26.203704,63.427328,0,16.242217714285715,76.181604,45
2020-11-12,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,51.85,7489.0,135.0,21.109634142857143,16.203704,26.895833,59.401226,0,16.705158714285712,76.80111157142858,46
2020-11-19,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,51.85,7000.0,121.0,21.490123571428573,15.244444,27.783951,8.064299,0,16.056966428571428,72.21041028571429,47
2020-11-26,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,51.85,6463.0,92.0,22.236111142857144,16.117284,28.166667,4.961568,0,16.268738714285714,70.164753,48
2020-12-03,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,5593.0,65.0,21.853946142857144,15.201389,28.103175,23.47081,0,16.36167785714286,72.64175114285715,49
2020-12-10,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,3729.0,76.0,21.773148,14.284722,28.145833,17.399,0,15.624008,69.41057028571429,50
2020-12-17,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,2783.0,47.0,21.786596,13.975309,28.141975,0.818444,0,14.127866,62.86263957142857,51
2020-12-24,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,1952.0,24.0,22.117394285714283,14.932099,28.270833,6.9189799999999995,0,15.108465714285714,65.68563685714285,52
2020-12-31,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,901.0,28.0,21.96527785714286,13.598765,28.9375,15.489464,0,14.085097,62.965571857142855,53
2021-01-07,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,1340.0,22.0,22.126984142857143,14.944444,28.368056,18.560142,0,14.672619142857144,64.290735,1
2021-01-14,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,53.7,905.0,23.0,20.993055499999997,15.423611,28.6875,0.084667,0,14.989583,69.761627,2
2021-01-21,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,53.7,910.0,14.0,22.818055666666666,15.229167,28.777778,0.8128,0,14.120601833333334,59.40569566666667,3
2021-01-28,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,53.7,794.0,13.0,22.291666714285714,13.083333,28.979167,6.903357,0,14.363095285714286,62.44874171428571,4
