date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.851852,22.407407,33.925926,0.0,0,19.2222225,59.63252850000001,1
2020-01-09,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.73280414285714,21.462963,34.12963,0.0,0,20.59259271428571,65.46865428571428,2
2020-01-16,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48677257142857,21.666667,33.833333,0.762001,0,21.56613742857143,70.55600671428572,3
2020-01-23,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.780423428571428,21.796296,33.925926,0.846667,0,21.46296285714286,68.81754614285714,4
2020-01-30,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.870370285714284,21.796296,33.425926,28.363333,0,21.626984142857143,69.04598971428571,5
2020-02-06,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.100528999999998,20.833333,32.925926,0.0,0,19.555555571428574,67.71592057142857,6
2020-02-13,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.042328142857144,21.092593,34.12963,0.084667,0,20.380952428571426,63.76168371428572,7
2020-02-20,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.439153428571426,22.166667,35.925926,5.6726659999999995,0,20.473545142857144,62.840637,8
2020-02-27,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.330687714285716,22.055556,34.87037,0.508,0,18.354497428571428,55.63502442857142,9
2020-03-05,KH,Q424,Cambodia,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.825397000000002,23.259259,34.259259,1.27,0,22.000000142857143,67.25163328571429,10
2020-03-12,KH,Q424,Cambodia,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,6.0,0.0,30.07671942857143,24.5,37.240741,0.338667,0,23.08994714285714,66.87072114285714,11
2020-03-19,KH,Q424,Cambodia,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3,44.0,0.0,29.68253957142857,24.592593,35.5,31.157334000000002,0,22.80158714285714,67.25964157142857,12
2020-03-26,KH,Q424,Cambodia,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74,47.0,0.0,29.814814857142856,24.240741,35.759259,23.198667,0,22.306878285714284,64.76347114285714,13
2020-04-02,KH,Q424,Cambodia,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74,16.0,0.0,30.814814857142856,24.611111,36.907407,10.921999999999999,0,23.420634857142858,65.53415385714285,14
2020-04-09,KH,Q424,Cambodia,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,1.0,76.85,6.0,0.0,30.373016,25.333333,36.240741,7.874,0,23.01322757142857,65.60617814285715,15
