date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7194445,18.883333,31.588889,0.0,0,18.088889,62.964912999999996,1
2020-01-09,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.841358142857143,18.027778,33.083333,0.0,0,17.789065285714287,61.456527,2
2020-01-16,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89444442857143,17.761111,33.222222,0.0,0,17.588095285714285,60.43496471428572,3
2020-01-23,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.261111142857143,18.627778,34.744444,0.0,0,17.973015857142858,60.598298,4
2020-01-30,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.19444457142857,14.822222,33.144444,7.656286,0,16.384127142857142,65.72182685714286,5
2020-02-06,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.611111142857144,13.85,32.294444,0.0,0,16.467460285714285,60.75569385714285,6
2020-02-13,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.349999999999998,15.894444,34.877778,0.0,0,17.40873,58.22862814285714,7
2020-02-20,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.603968000000002,15.405556,36.0,0.0,0,15.406349285714287,53.59797485714286,8
2020-02-27,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.802182714285713,16.594444,34.090278,0.0,0,15.115873000000002,52.19698757142857,9
2020-03-05,LA,Q819,Laos,7275556,18.2,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.87757942857143,19.805556,35.822222,31.333218,0,19.164682571428575,64.20120914285714,10
2020-03-12,LA,Q819,Laos,7275556,18.2,104.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26,0.0,0.0,27.889881,19.677778,37.283333,19.208750000000002,0,20.515277857142856,65.873875,11
2020-03-19,LA,Q819,Laos,7275556,18.2,104.1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,25.93,0.0,0.0,29.208774285714288,23.022222,38.191358,6.674556,0,21.908267285714285,65.28077785714285,12
2020-03-26,LA,Q819,Laos,7275556,18.2,104.1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,28.7,6.0,0.0,27.812103285714283,22.305556,35.763889,17.601091,0,22.022420571428572,71.22503585714286,13
2020-04-02,LA,Q819,Laos,7275556,18.2,104.1,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,96.3,4.0,0.0,31.40337314285714,23.65,38.564815,0.2794,0,22.246031857142857,58.754051571428576,14
2020-04-09,LA,Q819,Laos,7275556,18.2,104.1,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,6.0,0.0,28.343298,22.061111,35.994444,18.936405,0,21.40291014285714,66.57679185714287,15
2020-04-16,LA,Q819,Laos,7275556,18.2,104.1,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,3.0,0.0,28.58333342857143,20.288889,36.583333,2.2098,0,19.968254,59.87236814285715,16
2020-04-23,LA,Q819,Laos,7275556,18.2,104.1,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,0.0,0.0,30.810118999999997,23.088889,39.875,23.03145,0,22.28412685714286,61.12710214285714,17
2020-04-30,LA,Q819,Laos,7275556,18.2,104.1,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,0.0,0.0,28.647619142857142,21.361111,36.527778,2.1082,0,18.343849142857145,54.25834614285714,18
2020-05-07,LA,Q819,Laos,7275556,18.2,104.1,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,0.0,0.0,32.72202371428571,24.083333,40.784722,12.350649,0,23.243055571428574,57.98853485714285,19
2020-05-14,LA,Q819,Laos,7275556,18.2,104.1,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,85.19,0.0,0.0,32.37083342857143,24.104167,39.798611,30.095371,0,23.056150714285714,58.54182085714286,20
2020-05-21,LA,Q819,Laos,7275556,18.2,104.1,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,85.19,0.0,0.0,31.542063714285714,24.013889,39.234568,44.915162,0,24.00932542857143,65.17366285714286,21
2020-05-28,LA,Q819,Laos,7275556,18.2,104.1,2.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,56.48,0.0,0.0,30.089682714285715,23.25,38.366667,103.929846,0,24.83690485714286,74.19191442857142,22
2020-06-04,LA,Q819,Laos,7275556,18.2,104.1,2.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,56.48,0.0,0.0,27.875992142857143,22.763889,33.381944,79.855786,0,24.54484114285714,82.35998857142856,23
2020-06-11,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,39.81,0.0,0.0,30.350793714285714,25.25,36.272222,22.226916,0,24.745635,72.37365514285715,24
2020-06-18,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,39.81,0.0,0.0,28.20575385714286,23.916667,36.555556,75.905179,0,24.495238142857144,80.71633828571429,25
2020-06-25,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,39.81,0.0,0.0,30.447619142857143,24.916667,35.861111,18.246876,0,25.225396999999997,73.94676642857144,26
2020-07-02,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,39.81,0.0,0.0,29.061309571428573,23.277778,35.020833,73.55517400000001,0,24.892658714285716,78.61304328571428,27
2020-07-09,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,20.37,0.0,0.0,29.478020285714283,24.194444,35.45,103.13035,0,25.11624785714286,77.96033185714285,28
2020-07-16,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,20.37,0.0,0.0,29.49065242857143,24.983333,35.483333,20.892910999999998,0,25.14162257142857,77.72680614285714,29
2020-07-23,LA,Q819,Laos,7275556,18.2,104.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,20.37,1.0,0.0,29.264881142857142,24.256944,35.355556,66.541449,0,25.139880857142856,78.74680914285715,30
