date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.456349,5.685185,13.416667,7.5692,0.0,6.291005500000001,81.0351905,1
2020-01-09,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.877173142857144,5.12963,14.537037,38.6207,0.0,5.498110285714286,80.35793071428573,2
2020-01-16,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.278344714285714,5.351852,15.02381,6.307667,0.0,5.517762714285714,73.53211114285715,3
2020-01-23,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.644935857142857,4.15873,13.138889,40.419867,0.0,5.046863428571428,78.86617857142858,4
2020-01-30,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.018858571428572,1.809524,15.484127,20.440953,0.0,3.639909285714286,70.21087085714285,5
2020-02-06,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.215570571428572,6.244444,19.896825,9.5123,0.0,5.324187428571428,68.2001352857143,6
2020-02-13,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,6.995880714285714,0.119048,15.592593,26.7081,20.32,2.505479714285714,74.311465,7
2020-02-20,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,5.0,0.0,11.02985642857143,5.601852,15.935185,5.044319000000001,0.0,5.107898714285715,68.06532214285714,8
2020-02-27,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.33,6.0,0.0,12.170823714285714,7.690476,18.546296,10.773833,0.0,7.405328571428571,73.30997742857143,9
2020-03-05,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,15.0,0.0,13.438019714285714,6.0,23.02381,16.467667,0.0,6.169123142857143,63.40339328571429,10
