date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4340275,-3.979167,2.243056,0.0,0.0,-5.2569444999999995,81.1372585,1
2020-01-09,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3095237142857141,-4.069444,8.180556,6.19125,0.0,-3.7976188571428575,71.30129385714285,2
2020-01-16,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8482142857142858,-3.409722,8.861111,0.79375,0.0,-5.174603142857143,62.663414714285715,3
2020-01-23,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1904761428571429,-6.597222,7.666667,10.57275,2268.2200000000003,-5.262896857142857,76.66298485714286,4
2020-01-30,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247024,-4.652778,7.4375,37.94125,25.4,-2.081349142857143,79.47742742857143,5
2020-02-06,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3353174285714284,-6.284722,11.3125,79.502,140.97,-0.020833285714285665,79.71984214285715,6
2020-02-13,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,2.7867062857142857,-3.666667,12.145833,46.586321000000005,600.71,-3.3660714285714284,66.984648,7
2020-02-20,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,4.242063714285714,-1.090278,15.208333,14.6685,180.33999999999997,-1.4166665714285713,69.14899785714286,8
2020-02-27,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,4.439484142857143,-3.673611,14.770833,22.82825,50.8,-1.1696427142857142,68.25040928571428,9
2020-03-05,LI,Q347,Liechtenstein,38378,47.145,9.553889,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,3.6190475714285713,-2.173611,10.888889,36.29025,0.0,-2.8769841428571428,64.721283,10
