date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.269444,21.361111,29.672222,6.1975999999999996,0,22.075,82.6685,1
2020-01-09,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46825385714286,19.022222,30.038889,21.7678,0,21.12380942857143,77.34004571428571,2
2020-01-16,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.373015857142857,16.961111,30.133333,8.5344,0,18.901587142857142,72.08219171428571,3
2020-01-23,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.347619,19.888889,31.111111,39.751,0,21.933333428571427,81.82026671428571,4
2020-01-30,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,5.0,0.0,24.934722285714287,18.261111,30.138889,0.9652,0,18.81567457142857,69.67695428571429,5
2020-02-06,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.33,0.0,0.0,25.059523857142857,18.222222,30.033333,0.45720000000000005,0,19.443650714285717,71.66163542857143,6
2020-02-13,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.33,0.0,0.0,25.115079428571427,18.372222,30.55,8.4582,0,19.913491999999998,73.49057285714285,7
2020-02-20,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.33,0.0,0.0,25.387301571428573,18.1,30.911111,1.2191999999999998,0,19.94206342857143,72.38126742857142,8
2020-02-27,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.11,0.0,0.0,25.75714285714286,20.416667,31.638889,18.4658,0,21.39999985714286,77.39683057142858,9
2020-03-05,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.11,0.0,0.0,25.800617,20.122222,31.666667,0.0,0,19.77239857142857,69.92454142857143,10
2020-03-12,LK,Q854,Sri Lanka,21413250,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.11,1.0,0.0,26.454421857142854,20.383333,32.216667,14.884400000000001,0,20.61009057142857,70.74087828571429,11
2020-03-19,LK,Q854,Sri Lanka,21413250,7.0,81.0,3.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,84.26,66.0,0.0,25.94937642857143,21.452381,32.479167,6.11505,0,21.410458857142856,76.45184642857143,12
2020-03-26,LK,Q854,Sri Lanka,21413250,7.0,81.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,97.22,34.0,0.0,26.559171,20.066667,32.005556,4.498622,0,19.870017571428573,67.165907,13
2020-04-02,LK,Q854,Sri Lanka,21413250,7.0,81.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,53.0,5.0,26.54923157142857,19.198413,32.85,7.0612,0,20.22323,68.87761385714286,14
2020-04-09,LK,Q854,Sri Lanka,21413250,7.0,81.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,38.0,2.0,26.915873,20.433333,32.566667,8.9916,0,21.590476142857142,72.901373,15
2020-04-16,LK,Q854,Sri Lanka,21413250,7.0,81.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,47.0,0.0,26.468606714285716,21.622222,32.088889,40.476311,0,22.276014142857143,77.97985185714286,16
2020-04-23,LK,Q854,Sri Lanka,21413250,7.0,81.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,176.0,0.0,26.614903,21.744444,32.427778,28.724578,0,22.59611985714286,78.86739571428572,17
