date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7777775,5.0,15.5,0.508,0,3.3888884999999997,60.292017,1
2020-01-09,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.125,3.5,17.5,0.0,0,2.23611125,48.038581,2
2020-01-16,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,5.0,21.5,7.112,0,3.8666668,55.0402544,3
2020-01-23,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,4
2020-01-30,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,5
2020-02-06,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,6
2020-02-13,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,15.416667,4.222222,25.5,0.0,0,-4.3333335,25.617153000000002,7
2020-02-20,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,14.555555333333333,4.0,20.611111,0.0,0,5.6203705,55.09363266666667,8
2020-02-27,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,16.349206428571428,4.388889,27.0,0.0,0,3.7222222857142855,44.13975814285714,9
2020-03-05,LY,Q1016,Libya,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,20.619047714285717,7.0,30.5,0.0,0,3.5238095714285715,33.353862,10
