date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059028,-3.881944,4.194444,0.254,50.8,-3.0972225,73.97075799999999,1
2020-01-09,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7271825714285713,-7.715278,7.145833,1.820333,238.76,-4.400793714285714,76.94834057142857,2
2020-01-16,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861110000000001,-4.701389,7.9375,0.108857,60.96,-1.4593254285714286,84.14932142857143,3
2020-01-23,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375000142857143,-2.145833,11.979167,0.0,0.0,-3.5386904285714285,71.60813871428572,4
2020-01-30,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,1.1587302857142858,-6.465278,7.986111,1.560285,0.0,-3.2718254285714288,73.73859485714286,5
2020-02-06,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4.411706285714286,-3.861111,14.3125,16.800285000000002,30.48,0.844246,77.87576471428572,6
2020-02-13,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,1.204365,-7.305556,9.736111,2.975429,33.866667,-5.462301714285714,61.416869857142856,7
2020-02-20,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.079365142857143,-4.208333,13.090278,0.03175,0.0,-0.4871031428571429,67.65674828571429,8
2020-02-27,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,5.752976142857143,-1.298611,18.597222,6.023429,0.0,-0.686508,64.69771971428572,9
2020-03-05,MD,Q217,Moldova,4033963,47.25,28.516667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,1.0,0.0,7.556547714285714,-1.798611,19.756944,0.762,0.0,2.0396824285714286,68.820836,10
2020-03-12,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,51.85,7.0,0.0,9.540674714285714,3.305556,19.326389,5.763381,0.0,5.135912857142857,75.08715528571429,11
2020-03-19,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,54.63,72.0,1.0,6.194444571428571,-5.6875,19.694444,0.943429,0.0,-3.5763888571428573,50.419025857142856,12
2020-03-26,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,119.0,1.0,5.780754,-4.138889,18.013889,3.45319,0.0,-3.8690475714285713,52.418070428571426,13
2020-04-02,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,392.0,7.0,7.221230142857143,-6.451389,19.541667,0.0,0.0,-6.521825428571428,37.93978085714286,14
2020-04-09,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,847.0,20.0,10.342262,-0.659722,22.291667,0.0,0.0,-6.860119142857142,29.771376999999998,15
2020-04-16,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,826.0,27.0,10.706349285714285,0.402778,22.159722,1.3471069999999998,0.0,-3.2281747142857142,38.93312542857143,16
2020-04-23,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.04,846.0,31.0,11.884920571428571,2.618056,22.111111,0.0,0.0,-3.993055714285714,32.963373857142855,17
2020-04-30,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,84.26,870.0,35.0,14.306547571428572,3.833333,25.597222,5.519964,0.0,1.0307538571428572,41.579377428571426,18
2020-05-07,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,84.26,748.0,37.0,13.226190571428571,5.409722,23.166667,32.589107999999996,0.0,9.120039857142856,76.50596314285714,19
2020-05-14,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,84.26,1017.0,45.0,15.657737999999998,2.979167,29.486111,1.68275,0.0,4.880952285714286,49.084084142857144,20
2020-05-21,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,84.26,1102.0,34.0,15.212301571428572,8.5625,28.097222,10.373178,0.0,6.8234125714285705,58.76509057142857,21
2020-05-28,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,80.56,1049.0,51.0,12.875992142857143,5.611111,20.423611,23.930428,0.0,6.126984,65.17734342857143,22
2020-06-04,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,80.56,1351.0,36.0,13.235119142857144,6.083333,24.902778,14.006287,0.0,8.314484142857143,73.01407957142858,23
2020-06-11,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,80.56,1846.0,72.0,23.618055714285713,13.236111,33.666667,0.594179,0.0,13.211309571428572,52.416841,24
2020-06-18,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,80.56,2463.0,63.0,21.38690485714286,16.1875,31.729167,49.793071,0.0,17.120039714285713,77.21820428571428,25
2020-06-25,MD,Q217,Moldova,4033963,47.25,28.516667,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,80.56,2220.0,57.0,21.218254,15.680556,28.840278,27.885572,0.0,16.862103142857144,76.56886471428571,26
