date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.132716,-0.277778,10.462963,0.0,187.96,-6.5679015,42.5689185,1
2020-01-09,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.434744142857143,-3.203704,12.030864,0.762,977.9000000000001,-6.854497285714286,50.23662157142858,2
2020-01-16,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.235449571428572,-3.135802,13.061728,0.0,760.73,-0.5590828571428571,67.41994157142857,3
2020-01-23,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.9638445714285715,-3.598765,12.709877,7.775222,715.01,-2.197531,65.56183414285714,4
2020-01-30,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.522927714285714,-3.506173,12.697531,50.701222,409.363333,4.01918,79.81559171428572,5
2020-02-06,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.007054714285713,-0.62963,15.0,16.411220999999998,426.71999999999997,1.6719575714285713,68.36346428571429,6
2020-02-13,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.5299821428571425,-1.845679,14.691358,3.7182779999999998,721.36,1.1904762857142859,66.29244571428572,7
2020-02-20,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.828924142857144,0.432099,16.592593,7.73289,30.48,1.2636682857142856,61.20552885714285,8
2020-02-27,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.009964857142858,0.320988,17.993827,14.915444,47.413333,0.9723987142857142,59.610472,9
2020-03-05,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.154321,1.117284,16.45679,62.024381,241.29999999999998,3.668430285714286,70.14636428571428,10
2020-03-12,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.609347571428572,3.851852,20.265432,43.462222000000004,152.4,4.3421518571428575,71.32014257142858,11
2020-03-19,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,13.0,0.0,11.594621,2.382716,21.138889,1.887361,0.0,2.812433714285714,56.32277485714286,12
2020-03-26,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,57.0,1.0,8.376984142857143,-0.790123,18.833333,3.57505,91.44,0.36666671428571423,58.993886999999994,13
2020-04-02,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,90.0,1.0,9.291887142857144,0.17284,18.802469,11.786304999999999,77.046667,2.499999857142857,64.08002571428571,14
2020-04-09,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,95.0,0.0,13.323985857142857,1.654321,21.820988,0.0,0.0,-1.1850087142857142,39.59401428571429,15
2020-04-16,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,48.0,2.0,13.670634857142858,3.432099,22.895062,24.92375,60.96,3.0919755714285713,50.510269,16
2020-04-23,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,16.0,1.0,14.379806142857143,5.54321,21.716049,10.458450000000001,0.0,7.827777714285714,65.98999428571429,17
2020-04-30,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,3.0,2.0,15.261905,5.703704,22.067901,15.419917,15.24,9.123456714285714,67.627463,18
2020-05-07,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,2.0,1.0,14.732804285714284,7.62963,21.253086,34.928528,0.0,7.609347571428572,64.98539157142856,19
2020-05-14,ME,Q236,Montenegro,622182,42.766667,19.216667,0,0,0,0,0,0,0,0,0,0,0.0,1.0,18.555555571428574,8.37037,29.314815,0.215194,0.0,8.475308428571427,53.09521,20
