date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.527777999999998,27.0,30.722222,11.43,0,25.833333500000002,85.5508505,1
2020-01-09,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.611111142857144,25.0,31.0,25.654,0,25.420634857142858,83.12908614285713,2
2020-01-16,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.301587428571427,24.972222,30.611111,0.762,0,23.884920714285716,77.06247057142856,3
2020-01-23,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.75,25.25,31.916667,8.128,0,25.710317571428572,83.70362471428572,4
2020-01-30,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.365079285714284,25.25,30.722222,33.655,0,24.884920714285716,81.61999185714285,5
2020-02-06,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.535714285714285,25.138889,31.222222,8.509,0,24.83730142857143,80.59451642857142,6
2020-02-13,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.43253957142857,24.888889,31.0,3.937,0,23.813492,76.24055899999999,7
2020-02-20,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.412698428571428,24.916667,31.0,38.099999999999994,0,23.964285714285715,76.93903671428572,8
2020-02-27,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.365079142857144,25.444444,31.388889,24.765,0,25.047619,82.40752157142857,9
2020-03-05,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.285714428571428,24.083333,31.111111,31.496,0,24.753967999999997,81.15254271428572,10
2020-03-12,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.555555571428574,24.833333,31.277778,5.334,0,24.595238,79.24355828571427,11
2020-03-19,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.50793642857143,25.222222,31.0,17.526,0,24.281746,78.11307742857142,12
2020-03-26,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.539682571428575,26.194444,31.388889,0.0,0,23.039682571428575,72.43601642857143,13
2020-04-02,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.16666657142857,25.111111,31.611111,9.398,0,24.02380942857143,78.388051,14
2020-04-09,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.269841142857143,25.611111,30.777778,22.606,0,24.357142714285715,79.72809600000001,15
2020-04-16,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.329365142857142,25.222222,31.222222,50.546,0,25.75793657142857,86.14297057142858,16
2020-04-23,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.059523714285714,24.333333,31.222222,53.086000000000006,0,24.682539714285717,82.14756471428572,17
2020-04-30,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.00793657142857,25.444444,30.666667,51.943,0,25.388888857142856,85.90386785714286,18
2020-05-07,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.380952428571426,25.027778,30.805556,20.955,0,25.380952142857144,83.89034957142857,19
2020-05-14,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.900793714285715,24.5,30.277778,48.387,0,25.551587,87.25369457142857,20
2020-05-21,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.07142842857143,25.444444,32.111111,10.287,0,25.64682528571429,81.89247342857142,21
2020-05-28,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.76190485714286,25.138889,34.166667,3.4290000000000003,0,24.884920714285716,78.96545514285715,22
2020-06-04,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.670635,24.583333,31.777778,28.956,0,25.28174614285714,82.03890771428571,23
2020-06-11,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.821428714285712,25.722222,32.0,31.369,0,25.571428571428573,82.69513428571429,24
2020-06-18,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.59127,25.055556,31.805556,21.844,0,25.642857,84.22158571428572,25
2020-06-25,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.34523814285714,24.888889,31.722222,32.766,0,25.456349285714285,84.45464242857143,26
2020-07-02,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.607143,23.861111,31.194444,29.972,0,25.174603285714284,81.75360614285715,27
2020-07-09,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.920634857142858,25.25,32.111111,8.509,0,24.869047714285717,78.82391542857144,28
2020-07-16,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.57142842857143,24.833333,31.888889,70.104,0,25.02380957142857,81.43211714285714,29
2020-07-23,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.551587428571427,25.5,31.611111,40.513,0,25.563492,83.95822771428571,30
2020-07-30,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.031746,24.472222,31.777778,14.732000000000001,0,25.464285571428572,81.22619499999999,31
2020-08-06,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.77380957142857,24.888889,31.972222,37.338,0,25.611111142857144,83.09729928571429,32
2020-08-13,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.611111,25.083333,32.166667,29.21,0,25.64682542857143,84.16567457142857,33
2020-08-20,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.730158714285714,25.277778,31.388889,26.162,0,25.269841285714286,81.73801357142858,34
2020-08-27,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.99206342857143,26.388889,32.0,25.146,0,25.27777785714286,80.50012028571429,35
2020-09-03,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.48015857142857,24.25,32.111111,83.693,0,25.686507857142857,84.97705914285714,36
2020-09-10,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.015872857142856,25.666667,31.888889,11.811,0,25.186507857142857,79.94827428571429,37
2020-09-17,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.33730142857143,24.833333,32.0,27.305,0,25.087301571428572,82.77942242857144,38
2020-09-24,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.797619142857144,24.972222,32.0,22.479,0,25.194444428571426,81.04782157142857,39
2020-10-01,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.202380857142856,24.5,31.222222,101.854,0,25.210317428571425,83.94082571428571,40
2020-10-08,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.956349,24.5,32.111111,40.259,0,25.138888857142856,84.81807071428571,41
2020-10-15,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.079365142857142,24.194444,31.888889,50.800000000000004,0,25.468254,85.960419,42
2020-10-22,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.22619042857143,24.555556,31.722222,160.401,0,25.440476142857143,84.963349,43
2020-10-29,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,2.0,0.0,28.464285571428572,25.027778,31.25,52.324000000000005,0,25.182539714285717,82.48311014285716,44
2020-11-05,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,28.182539714285717,24.083333,31.416667,70.358,0,25.194444428571426,83.91547742857144,45
2020-11-12,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.27777785714286,25.638889,31.277778,50.8,0,25.33730171428571,84.23610671428571,46
2020-11-19,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,3.0,0.0,28.09126985714286,23.861111,31.361111,83.566,0,25.436507857142857,85.72675042857144,47
2020-11-26,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.24603157142857,24.388889,31.194444,36.068,0,25.146825142857146,83.36245142857142,48
2020-12-03,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.059523857142857,19.388889,31.388889,39.242999999999995,0,24.952381000000003,83.508523,49
2020-12-10,MH,Q709,Marshall Islands,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.17460314285714,24.388889,30.777778,23.749000000000002,0,24.50396842857143,80.41898357142858,50
