date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,MO,Q14773,Macau,649342,22.166667,113.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,17.6944445,15.166667,20.55,0.3556,0,13.854938,78.2804185,1
2020-01-09,MO,Q14773,Macau,649342,22.166667,113.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,20.417460142857145,15.094444,26.288889,0.0508,0,15.954321000000002,75.50092728571428,2
2020-01-16,MO,Q14773,Macau,649342,22.166667,113.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,18.83571442857143,13.311111,24.305556,0.474133,0,13.913492000000002,73.56689685714286,3
2020-01-23,MO,Q14773,Macau,649342,22.166667,113.55,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,25.0,0.0,0.0,18.298412714285714,13.927778,25.883333,0.3302,0,13.603880142857141,74.44974142857143,4
2020-01-30,MO,Q14773,Macau,649342,22.166667,113.55,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,36.11,0.0,0.0,14.80317457142857,9.088889,25.177778,27.8638,0,8.127866000000001,66.55472714285715,5
2020-02-06,MO,Q14773,Macau,649342,22.166667,113.55,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,43.52,0.0,0.0,16.59841257142857,9.444444,20.866667,7.340599999999999,0,11.828042428571427,74.42027499999999,6
2020-02-13,MO,Q14773,Macau,649342,22.166667,113.55,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,43.52,0.0,0.0,17.516666571428573,13.972222,23.394444,11.2268,0,14.233686285714287,81.32274471428572,7
2020-02-20,MO,Q14773,Macau,649342,22.166667,113.55,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,46.3,0.0,0.0,16.088889142857145,8.672222,23.116667,48.4886,0,10.108465714285714,69.16194885714286,8
2020-02-27,MO,Q14773,Macau,649342,22.166667,113.55,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,46.3,0.0,0.0,20.374603285714283,14.246914,27.572222,0.0,0,15.981812285714286,75.75773271428571,9
2020-03-05,MO,Q14773,Macau,649342,22.166667,113.55,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,46.3,0.0,0.0,20.063492,14.872222,26.844444,3.6914670000000003,0,16.680158857142857,81.00721971428571,10
