date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.033333,20.8,30.022222,0.0508,0,18.522222499999998,67.36415149999999,1
2020-01-09,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.84484128571429,19.763889,30.5,0.4318,0,19.712301571428572,69.26408257142857,2
2020-01-16,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.597619285714284,18.377778,30.472222,26.8478,0,22.250793428571427,79.50797228571427,3
2020-01-23,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.170634857142858,18.625,30.541667,2.3495,0,19.636904714285713,69.96742228571428,4
2020-01-30,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.67460314285714,20.277778,31.402778,7.6835,0,20.77777785714286,74.71472585714285,5
2020-02-06,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.373016,22.416667,32.25,2.2225,0,22.13293642857143,73.60965,6
2020-02-13,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.817460285714283,18.819444,32.277778,36.2585,0,24.392857,82.41482328571429,7
2020-02-20,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.015873,22.777778,31.708333,12.657667,0,22.16269857142857,75.09666728571428,8
2020-02-27,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.710317571428572,21.981481,31.962963,14.5415,0,21.447751285714283,73.39496742857143,9
2020-03-05,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.04960314285714,18.902778,31.694444,59.309000000000005,0,23.700396857142856,84.847123,10
2020-03-12,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.654762,21.907407,31.708333,13.525500000000001,0,22.749999857142857,79.45572885714286,11
2020-03-19,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,2.0,0.0,25.829365142857142,20.527778,31.083333,40.0685,0,22.273148,78.35711857142857,12
2020-03-26,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,13.0,0.0,25.319444428571426,20.569444,29.791667,3.81,0,19.75,71.36404971428571,13
2020-04-02,NC,Q33788,New Caledonia,285491,-21.25,165.3,0,0,0,0,0,0,0,0,0,0,3.0,0.0,25.087301571428572,21.416667,29.263889,2.9844999999999997,0,20.077381142857142,73.94286157142857,14
