date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,20.761111,30.511111,0.09525,0,20.063889,69.5781765,1
2020-01-09,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44206342857143,20.327778,32.083333,0.0,0,20.011905000000002,68.94099214285714,2
2020-01-16,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02619057142857,22.0,30.638889,6.791475,0,20.736507857142858,69.71945528571429,3
2020-01-23,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.311111,18.766667,30.738889,1.2770549999999998,0,20.06428557142857,69.61732628571428,4
2020-01-30,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31428557142857,18.85,31.533333,0.0,0,19.54920642857143,66.94778657142857,5
2020-02-06,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.125396857142857,19.688889,32.211111,0.155222,0,19.834127,65.28272542857142,6
2020-02-13,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.138095142857143,19.694444,32.238889,0.296333,0,19.957142857142856,66.04463342857143,7
2020-02-20,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.754762,21.338889,32.611111,0.254,0,19.753968285714286,62.92127671428572,8
2020-02-27,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,27.488888857142857,20.0,32.661111,0.0,0,19.567813142857144,62.93200342857143,9
2020-03-05,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,27.388889000000002,21.35,33.25,0.8255,0,19.522222142857142,63.657945857142856,10
2020-03-12,NI,Q811,Nicaragua,6624554,13.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,27.419841428571427,21.7,33.127778,0.5805710000000001,0,19.836508000000002,65.07665942857143,11
2020-03-19,NI,Q811,Nicaragua,6624554,13.0,-85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.74,1.0,0.0,28.16426357142857,21.388889,32.6,0.0,0,19.562940857142856,60.904324428571435,12
2020-03-26,NI,Q811,Nicaragua,6624554,13.0,-85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.74,1.0,1.0,28.106150714285715,22.0,32.125,0.4572,0,20.678571428571427,65.41589385714285,13
2020-04-02,NI,Q811,Nicaragua,6624554,13.0,-85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.74,3.0,0.0,29.11981928571429,22.875,33.222222,0.381,0,19.97528657142857,59.48318771428571,14
2020-04-09,NI,Q811,Nicaragua,6624554,13.0,-85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.74,2.0,0.0,30.23439157142857,22.487654,34.611111,0.0,0,20.141799,56.179128142857145,15
