date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.847222,14.194444,28.555556,0.254,0,11.638888999999999,55.7979505,1
2020-01-09,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.606481333333335,14.0,29.055556,0.127,0,14.300925833333332,63.69242416666666,2
2020-01-16,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.293650714285715,8.444444,28.388889,2.2859999999999996,0,7.551587285714286,50.99919857142857,3
2020-01-23,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,19.265873142857142,9.722222,27.194444,0.0,0,11.178571285714286,59.83070142857143,4
2020-01-30,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,19.317460285714283,9.75,28.638889,0.0,0,8.623016,50.921637857142855,5
2020-02-06,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,19.53571414285714,9.944444,28.805556,0.0,0,8.198412857142857,48.932593714285716,6
2020-02-13,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,20.523809714285715,12.5,28.75,0.254,0,11.781746142857143,57.68852314285714,7
2020-02-20,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,19.357143142857144,7.777778,31.777778,0.254,0,8.222222285714286,49.45491599999999,8
2020-02-27,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,6.0,0.0,23.190475999999997,14.777778,34.222222,0.508,0,14.793650857142856,60.34257685714285,9
2020-03-05,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,10.0,0.0,21.380952285714283,10.222222,31.611111,0.0,0,5.539682571428571,37.08462814285714,10
2020-03-12,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,4.0,0.0,22.452380857142856,11.111111,31.611111,0.0,0,9.142857142857142,43.34587728571428,11
2020-03-19,OM,Q842,Oman,5106622,21.0,57.0,3.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,77.78,28.0,0.0,23.8444444,13.388889,34.277778,0.0,0,15.177778,58.4853778,12
2020-03-26,OM,Q842,Oman,5106622,21.0,57.0,3.0,1.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,81.48,83.0,0.0,24.126984142857143,13.222222,37.611111,13.462,0,13.452381,52.66122542857143,13
2020-04-02,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,85.19,121.0,1.0,26.230158857142857,15.722222,35.722222,0.254,0,13.746031714285715,48.738386,14
2020-04-09,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,85.19,232.0,2.0,29.269841285714286,18.777778,39.777778,0.254,0,10.682539714285713,34.118303857142855,15
2020-04-16,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,585.0,3.0,28.373016,20.5,38.611111,0.254,0,17.33333342857143,51.336023142857144,16
2020-04-23,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,721.0,4.0,29.579365142857142,21.388889,39.611111,0.254,0,18.888888857142856,52.898911,17
2020-04-30,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,657.0,1.0,32.40476185714286,22.888889,42.222222,0.0,0,17.380952285714283,41.460481,18
2020-05-07,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,665.0,5.0,31.928571428571427,23.5,43.611111,0.0,0,19.936508,50.30086142857142,19
2020-05-14,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,1513.0,4.0,34.468254,21.111111,44.5,0.508,0,4.825396714285715,16.772112857142858,20
2020-05-21,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,2169.0,14.0,33.547619,20.388889,44.388889,0.0,0,7.468254,21.80703642857143,21
2020-05-28,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,86.11,3026.0,7.0,31.920634857142858,24.611111,44.0,0.0,0,22.206349,56.78871071428572,22
2020-06-04,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,86.11,5266.0,31.0,33.468254,25.611111,46.277778,0.0,0,19.769841142857143,47.93088628571429,23
2020-06-11,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,86.11,5985.0,24.0,35.34920642857143,25.722222,48.277778,0.0,0,15.261904714285714,35.34299614285714,24
2020-06-18,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,6599.0,29.0,36.38095228571429,25.888889,47.0,0.0,0,14.563492142857143,28.74265957142857,25
2020-06-25,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,8364.0,28.0,35.22222228571429,24.111111,45.388889,0.0,0,13.103174571428571,28.748258857142854,26
2020-07-02,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,7895.0,40.0,32.22222214285714,26.277778,42.722222,0.508,0,23.690476285714286,60.95259457142857,27
2020-07-09,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,9685.0,51.0,34.93518533333333,24.611111,47.611111,0.0,0,18.484126857142858,42.6202365,28
2020-07-16,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,10579.0,54.0,34.4074075,25.111111,44.611111,0.0,0,20.342592666666665,43.92536466666667,29
2020-07-23,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,9598.0,61.0,,,,0.0,0,,,30
2020-07-30,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,5368.0,62.0,,,,0.0,0,,,31
2020-08-06,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,94.44,1908.0,81.0,37.0,27.222222,46.111111,0.0,0,9.5,18.906368,32
2020-08-13,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,94.44,1676.0,55.0,35.33333342857143,27.111111,45.388889,0.0,0,18.59523814285714,37.779629428571425,33
2020-08-20,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,89.81,1026.0,52.0,35.87414957142857,26.0,46.0,0.0,0,19.45464857142857,40.403946857142856,34
2020-08-27,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,1236.0,41.0,33.70748285714286,24.222222,44.5,0.0,0,19.833333285714286,45.465618,35
2020-09-03,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,1375.0,55.0,29.722222285714285,21.611111,40.888889,0.0,0,20.206349285714285,57.189229000000005,36
2020-09-10,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,1957.0,57.0,29.682539571428574,21.111111,41.5,0.0,0,19.261904714285713,54.165240857142855,37
2020-09-17,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,3416.0,56.0,30.261904714285716,21.5,42.222222,0.0,0,17.468253999999998,47.063911857142855,38
2020-09-24,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,4154.0,67.0,30.90476185714286,20.0,42.277778,0.0,0,13.746031714285715,35.546452714285714,39
2020-10-01,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,2678.0,50.0,28.944444428571426,19.888889,40.888889,0.254,0,15.730158714285713,44.81525885714286,40
2020-10-08,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,5544.0,74.0,28.57142842857143,18.888889,40.388889,0.254,0,13.595238,41.09415857142857,41
2020-10-15,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,4167.0,62.0,28.309523857142857,18.888889,38.388889,0.0,0,13.825396857142858,41.56888928571429,42
2020-10-22,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,78.7,3541.0,76.0,27.129629833333336,14.611111,36.722222,0.0,0,8.694444333333333,33.247890500000004,43
2020-10-29,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,57.41,2597.0,61.0,24.82539685714286,14.222222,36.111111,0.0,0,10.865079428571429,42.358361,44
2020-11-05,OM,Q842,Oman,5106622,21.0,57.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,50.0,2733.0,78.0,22.928571428571427,12.0,33.222222,0.0,0,7.150793714285713,36.78938528571428,45
2020-11-12,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,2275.0,40.0,26.222222199999997,15.5,34.111111,0.0,0,16.1555554,54.7866042,46
2020-11-19,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,1918.0,39.0,24.456349142857142,14.722222,32.888889,0.127,0,14.277778,53.48710628571428,47
2020-11-26,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,1219.0,26.0,23.055555571428574,14.111111,31.694444,0.0,0,13.59127,55.82191857142857,48
2020-12-03,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,1750.0,44.0,23.84126985714286,16.388889,31.888889,0.0,0,16.80555542857143,65.08868571428572,49
2020-12-10,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,1340.0,28.0,23.21825385714286,13.194444,34.0,0.381,0,12.928571428571429,53.19493128571429,50
2020-12-17,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,1350.0,20.0,20.543650714285715,13.166667,28.25,0.0,0,9.646825428571429,50.10805428571428,51
2020-12-24,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,48.15,1271.0,8.0,20.265873142857142,13.138889,29.0,0.0,0,11.595237999999998,58.030453571428566,52
