date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.861111,24.611111,30.861111,14.478,0,23.4722225,77.1084985,1
2020-01-09,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.011904714285716,23.305556,31.5,13.208,0,23.698412714285716,77.52520914285715,2
2020-01-16,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.289682428571428,23.027778,30.777778,69.723,0,23.08730142857143,78.01024542857144,3
2020-01-23,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.472222285714285,25.0,31.805556,16.891000000000002,0,23.579365142857142,74.95952985714287,4
2020-01-30,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.293650857142858,24.5,31.861111,8.382000000000001,0,23.626984142857143,75.93142071428572,5
2020-02-06,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.059523714285714,23.0,31.5,167.513,0,23.26984142857143,79.97406542857142,6
2020-02-13,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.26190485714286,22.5,31.805556,43.18,0,23.626984142857143,76.19749057142857,7
2020-02-20,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.261904714285716,23.75,31.805556,43.053,0,23.33333342857143,74.72260457142856,8
2020-02-27,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.42857157142857,24.638889,31.888889,13.334999999999999,0,23.313492,73.89581857142856,9
2020-03-05,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.626984142857143,24.361111,32.027778,172.339,0,23.80158714285714,79.88857499999999,10
2020-03-12,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,3.0,0.0,28.253968285714286,24.5,32.277778,36.449,0,23.43253957142857,75.21609642857142,11
2020-03-19,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,14.0,0.0,28.912698428571428,25.138889,32.416667,0.254,0,23.190476285714286,71.29275085714286,12
2020-03-26,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,17.0,0.0,28.611111142857144,25.194444,32.694444,2.286,0,22.916666714285714,71.36169242857143,13
2020-04-02,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,5.0,0.0,28.369047571428574,24.0,32.638889,55.753,0,23.30555542857143,74.12678385714285,14
2020-04-09,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,12.0,0.0,28.936508,25.5,32.444444,13.843,0,23.599206285714285,72.998513,15
2020-04-16,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,4.0,0.0,28.880952428571426,25.75,32.444444,1.905,0,23.321428571428573,72.00098200000001,16
2020-04-23,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,2.0,0.0,28.400793714285715,24.861111,32.194444,11.175999999999998,0,22.71031757142857,71.387377,17
2020-04-30,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,1.0,0.0,27.996031714285714,24.055556,31.472222,23.113999999999997,0,22.76984142857143,73.42956914285715,18
2020-05-07,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,2.0,0.0,27.908730285714284,23.138889,31.694444,24.13,0,23.095238285714284,75.16691585714285,19
2020-05-14,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.08333342857143,24.638889,32.055556,13.335,0,22.912698428571428,73.57892685714286,20
2020-05-21,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.857142857142858,24.75,31.5,14.478,0,22.773809714285715,73.96389285714285,21
2020-05-28,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.464285714285715,23.694444,31.0,53.339999999999996,0,22.357143,73.98051642857142,22
2020-06-04,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.14682528571429,22.75,31.222222,12.319,0,21.96825385714286,73.39990228571428,23
2020-06-11,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.03174614285714,20.388889,31.055556,1.27,0,19.416666857142854,67.080917,24
2020-06-18,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.15476185714286,23.75,31.0,48.641,0,22.78174614285714,77.18523557142858,25
2020-06-25,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.297619,22.888889,30.055556,22.225,0,21.55555542857143,75.38182428571429,26
2020-07-02,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,2.0,0.0,26.00793642857143,22.25,29.611111,11.43,0,19.813492,68.76299142857142,27
2020-07-09,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.112434,22.388889,29.861111,11.895667,0,21.33597885714286,75.11170585714285,28
2020-07-16,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.534391571428575,21.916667,29.555556,14.097,0,20.904762,76.00056285714287,29
2020-07-23,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.361111,22.305556,29.0,24.003,0,20.706349285714285,75.587075,30
2020-07-30,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.78968242857143,22.12963,29.055556,18.499667,0,21.167989428571428,75.84146199999999,31
2020-08-06,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,7.0,0.0,26.246031714285714,23.361111,29.259259,16.594667,0,21.309523857142857,74.36522014285715,32
2020-08-13,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,97.0,0.0,25.780423142857142,22.361111,29.305556,14.181667000000001,0,20.440476285714286,72.883532,33
2020-08-20,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,132.0,0.0,26.195767142857143,22.833333,29.5,10.710333,0,20.629629571428573,71.580253,34
2020-08-27,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,184.0,0.0,25.50793657142857,22.194444,29.055556,4.910667,0,20.722222285714285,75.00173414285713,35
2020-09-03,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,212.0,0.0,26.15873014285714,22.888889,30.388889,0.8043340000000001,0,20.001322714285717,68.96869814285715,36
2020-09-10,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,259.0,2.0,26.124338571428574,22.277778,29.694444,4.910667,0,20.648148,71.96127128571429,37
2020-09-17,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,318.0,0.0,26.292327999999998,22.722222,29.703704,1.100666,0,20.964285714285715,72.66452742857143,38
2020-09-24,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,308.0,4.0,26.931217,23.305556,30.0,2.286,0,21.05555542857143,70.3278497142857,39
2020-10-01,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,447.0,2.0,26.566137571428573,23.537037,29.759259,2.624667,0,21.642857285714285,74.52478614285714,40
2020-10-08,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,728.0,2.0,26.452380857142856,23.203704,29.685185,1.185334,0,21.09259271428571,72.618349,41
2020-10-15,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,1043.0,4.0,26.833333285714286,23.666667,29.888889,0.8466670000000001,0,21.460317428571425,72.65817757142857,42
2020-10-22,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,2062.0,6.0,26.145502571428572,22.962963,29.925926,23.029334,0,21.817460285714283,77.23187228571429,43
2020-10-29,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,1403.0,9.0,26.100528999999998,23.037037,29.87037,36.237333,0,22.044973571428574,78.51586414285714,44
2020-11-05,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,2733.0,10.0,26.994709142857143,22.666667,30.37037,22.775333000000003,0,21.941799,74.1165287142857,45
2020-11-12,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,1711.0,14.0,26.089947285714285,22.111111,30.296296,65.701333,0,21.616402142857144,76.51521585714285,46
2020-11-19,PF,Q30971,French Polynesia,280904,-17.533333,-149.566667,0,0,0,0,0,0,0,0,0,0,1272.0,10.0,27.25793642857143,23.814815,30.75,5.08,0,22.148148285714285,73.73636271428572,47
