date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.009259,5.601852,13.259259,0.042333,0.0,7.921296,93.1342445,1
2020-01-09,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78141542857143,3.840278,16.243056,0.072571,0.0,8.08829357142857,83.67090857142857,2
2020-01-16,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.178571428571429,2.958333,17.270833,3.628572,0.0,8.015778571428571,81.123351,3
2020-01-23,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.022156142857142,5.958333,17.407407,22.872096,23.706667,6.061649428571429,73.48235214285715,4
2020-01-30,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,12.635582,6.472222,16.6875,10.245875,10.16,11.399281857142856,91.45291414285714,5
2020-02-06,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,14.555650285714288,8.5,21.493056,9.65835,10.16,12.518518714285715,87.99606285714286,6
2020-02-13,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,13.225529142857143,8.972222,17.215278,1.3208,0.0,11.438586571428571,89.04791957142857,7
2020-02-20,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,13.025462857142857,6.041667,19.243056,1.7108709999999998,0.0,9.24754342857143,78.31802371428572,8
2020-02-27,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,14.449405,8.333333,22.657407,0.15875,0.0,8.465608428571429,68.05959128571429,9
2020-03-05,PT,Q45,Portugal,10276617,38.7,-9.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.56,9.0,0.0,14.727182571428571,7.847222,19.756944,5.286829,10.16,11.297949714285712,80.41896542857144,10
