date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.166666499999998,23.888889,29.0,5.08,0,23.666667,81.421975,1
2020-01-09,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.285714285714285,24.388889,30.0,5.8420000000000005,0,23.285714428571428,78.87585271428573,2
2020-01-16,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.317460285714283,23.277778,31.722222,24.892,0,23.960317428571425,81.99591885714287,3
2020-01-23,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.84126985714286,22.777778,30.611111,1.524,0,22.579365142857142,77.57389214285715,4
2020-01-30,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.896825285714282,23.277778,31.111111,20.828,0,23.89682528571429,83.68802742857143,5
2020-02-06,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.61904742857143,23.277778,31.722222,61.468,0,23.412698428571428,82.81924914285715,6
2020-02-13,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.66666685714286,23.277778,31.722222,93.47200000000001,0,23.293650857142858,81.87559414285714,7
2020-02-20,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.174602999999998,23.277778,31.111111,12.954,0,22.626984142857143,76.24681585714286,8
2020-02-27,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.309523714285714,23.888889,31.111111,29.21,0,23.793650857142858,81.25803342857144,9
2020-03-05,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.05555542857143,23.888889,31.722222,93.472,0,23.912698428571428,83.08263957142857,10
2020-03-12,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.952381,21.722222,30.611111,20.828,0,23.039682714285714,79.30679342857142,11
2020-03-19,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.44444457142857,22.777778,31.722222,5.842,0,23.222222,77.82086314285714,12
2020-03-26,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.22222214285714,23.888889,31.111111,72.136,0,23.968254142857145,82.48458771428571,13
2020-04-02,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.968254142857145,24.0,31.111111,2.286,0,23.666666714285714,77.51654085714286,14
2020-04-09,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.50793657142857,22.777778,32.0,2.54,0,23.16666657142857,77.26981371428572,15
2020-04-16,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.587301571428572,23.888889,32.222222,31.75,0,24.253968285714286,82.21443414285714,16
2020-04-23,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.28571414285714,24.0,31.111111,93.726,0,24.611111,85.41061642857143,17
2020-04-30,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.41269828571429,23.277778,31.722222,166.37,0,24.38095242857143,83.73865485714285,18
2020-05-07,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.857143,23.277778,31.722222,280.162,0,24.563491857142857,87.34179885714286,19
2020-05-14,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.920635,23.277778,31.722222,159.512,0,24.373015857142857,86.00587757142857,20
2020-05-21,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.650793571428572,24.388889,31.722222,93.726,0,24.753968142857143,84.30021285714285,21
2020-05-28,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.484127142857144,24.0,32.222222,59.69,0,24.722222285714285,84.95942314285715,22
2020-06-04,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.888889,24.388889,32.222222,38.608,0,24.27777785714286,80.80487400000001,23
2020-06-11,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.079365,23.0,31.722222,115.824,0,24.10317471428571,83.88871814285714,24
2020-06-18,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.77777785714286,23.888889,31.722222,76.708,0,24.17460314285714,85.74055042857142,25
2020-06-25,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.261904714285716,23.888889,31.111111,67.56400000000001,0,24.65079342857143,85.71726714285715,26
2020-07-02,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.126984142857143,23.0,31.111111,85.598,0,23.865079285714284,87.43175457142857,27
2020-07-09,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.611111,23.277778,31.722222,64.516,0,23.928571285714288,85.25736971428572,28
2020-07-16,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.944444428571426,23.277778,31.111111,38.099999999999994,0,23.833333285714286,83.14728714285715,29
2020-07-23,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.142857142857142,23.0,32.222222,39.116,0,23.849206428571428,82.29511228571428,30
2020-07-30,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.563492,22.222222,31.111111,92.964,0,24.063492142857143,86.23704157142856,31
2020-08-06,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.111111142857144,21.111111,30.611111,199.644,0,24.063492142857143,88.55085957142857,32
2020-08-13,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.587301571428572,23.0,31.111111,160.52800000000002,0,23.873015857142857,85.136741,33
2020-08-20,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.936508142857143,22.777778,31.111111,146.04999999999998,0,24.071428714285712,84.454694,34
2020-08-27,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.563492,23.277778,32.0,64.77,0,23.809523714285714,80.22165028571429,35
2020-09-03,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.24603157142857,23.277778,32.222222,29.464,0,23.76190485714286,81.34867514285715,36
2020-09-10,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.404762,23.888889,32.222222,16.764,0,24.15873014285714,82.53419714285714,37
2020-09-17,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.071428571428573,23.277778,32.222222,65.27799999999999,0,24.19841285714286,84.38887642857142,38
2020-09-24,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.912698428571428,22.777778,32.0,51.815999999999995,0,23.857142714285715,83.48923428571428,39
2020-10-01,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.976190428571424,22.777778,32.0,102.108,0,23.880952428571426,83.32163942857143,40
2020-10-08,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.0,23.0,31.722222,123.444,0,24.063492,84.10410014285715,41
2020-10-15,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.77777785714286,22.777778,31.722222,141.986,0,24.055555571428574,85.15326428571429,42
2020-10-22,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.83333314285714,23.277778,31.722222,148.844,0,24.063492142857143,84.85099514285714,43
2020-10-29,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.960317571428572,23.277778,31.111111,54.356,0,24.039682571428575,84.10095228571429,44
2020-11-05,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.119047714285717,23.277778,32.0,49.784,0,24.190476285714286,84.19695971428571,45
2020-11-12,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.984127,23.277778,31.111111,99.06,0,24.325396857142856,85.42414185714286,46
2020-11-19,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.02380942857143,23.0,32.0,96.774,0,24.309523857142857,85.16657042857142,47
2020-11-26,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.436508,22.777778,31.722222,15.24,0,24.119047571428574,82.18658085714286,48
2020-12-03,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.349206428571428,23.277778,32.0,77.21600000000001,0,24.111111285714287,82.58016285714287,49
2020-12-10,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.936507857142857,23.277778,31.722222,74.93,0,24.404761857142855,86.08392885714285,50
2020-12-17,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.984127142857144,23.888889,31.111111,109.72800000000001,0,24.34126985714286,85.56742714285714,51
2020-12-24,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.119047714285717,24.388889,30.611111,60.706,0,24.420635,85.30131885714286,52
2020-12-31,PW,Q695,Palau,18092,7.466667,134.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.142857142857142,23.277778,30.611111,85.09,0,24.222222,89.24844928571429,53
