date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1916665,-7.294444,0.894444,0.254,626.11,-5.8558645,81.9539075,1
2020-01-09,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.260317285714286,-14.161111,1.972222,1.929694,2208.53,-9.121252285714286,80.95904685714287,2
2020-01-16,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7841270000000002,-7.766667,5.311111,0.07619999999999999,2549.2709999999997,-6.111904714285714,81.59563885714286,3
2020-01-23,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.138889,-8.811111,5.594444,0.4064,2734.733333,-7.851587428571428,74.48968185714286,4
2020-01-30,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,-0.4039682857142856,-8.95,6.088889,12.716228,2423.1600000000003,-4.124515,77.91902842857144,5
2020-02-06,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,2.1706348571428573,-5.327778,11.016667,20.8788,1503.68,-1.3358905714285714,78.99574285714286,6
2020-02-13,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,-1.5634921428571429,-13.122222,6.155556,7.305322,1704.9750000000001,-6.684920571428571,68.97874742857142,7
2020-02-20,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,1.7952381428571427,-4.905556,13.255556,0.338667,3575.05,-2.376190571428572,76.47166685714286,8
2020-02-27,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,4.0,0.0,2.7968254285714282,-4.361111,15.077778,11.864623,3440.43,-1.7666665714285714,73.34161685714285,9
2020-03-05,RO,Q218,Romania,19414458,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,9.0,0.0,4.028571428571429,-3.9,17.194444,10.7823,3788.41,-0.199471,75.24192742857143,10
2020-03-12,RO,Q218,Romania,19414458,46.0,25.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,58.33,100.0,0.0,6.158730285714285,-0.194444,17.283333,9.091083000000001,2716.5299999999997,3.1234567142857137,82.19179142857142,11
2020-03-19,RO,Q218,Romania,19414458,46.0,25.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,61.11,207.0,0.0,4.257143142857143,-6.0,18.9,0.2032,10167.62,-4.5777778571428565,54.187656571428576,12
