date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.824074,-29.074074,-18.37037,1.862667,1018.54,-25.509259,78.7776615,1
2020-01-09,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.074074142857143,-29.888889,-3.740741,15.070667,4589.78,-17.079365142857142,84.5329322857143,2
2020-01-16,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.523809571428572,-23.444444,-10.925926,12.784667,5177.366667,-18.01322742857143,81.32507871428571,3
2020-01-23,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.288359571428572,-46.037037,-9.518519,7.027334,5146.04,-31.140211571428573,76.27687857142857,4
2020-01-30,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,2.0,0.0,-19.701058285714286,-36.111111,-9.833333,12.615333,5329.7666659999995,-21.96031757142857,82.11011028571428,5
2020-02-06,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,0.0,0.0,-27.005290857142857,-43.444444,-2.592593,13.462,6328.41,-30.060846571428574,75.10446528571428,6
2020-02-13,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,0.0,0.0,-18.793650714285715,-34.666667,-1.537037,9.905999,6842.336667,-21.48148142857143,79.20201142857142,7
2020-02-20,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,0.0,0.0,-11.431216857142857,-19.888889,-6.555556,7.62,6991.773333,-13.650793714285713,83.77302414285714,8
2020-02-27,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,0.0,0.0,-8.735449857142857,-17.333333,-3.962963,9.990667,7222.49,-11.12433857142857,83.01584342857143,9
2020-03-05,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,16.67,2.0,0.0,-9.88624342857143,-25.5,-2.148148,9.398000999999999,6782.223334,-12.851852,79.25835557142857,10
2020-03-12,RU,Q159,Russia,145934460,66.416667,94.25,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,26.39,30.0,0.0,-18.822751285714283,-33.481481,-0.527778,16.509999,7189.0466670000005,-22.68386257142857,71.77656342857144,11
2020-03-19,RU,Q159,Russia,145934460,66.416667,94.25,2.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,60.65,165.0,0.0,-9.654761857142857,-27.222222,1.972222,19.515666,7626.773333,-12.982804428571429,77.01020814285714,12
