date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,4.0,4.0,29.083333500000002,25.638889,32.5,0.0,0,25.291667,80.1057835,1
2020-01-09,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.801587428571427,23.694444,31.694444,173.35500000000002,0,24.90873014285714,84.42605442857143,2
2020-01-16,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.579365142857142,24.0,32.0,10.922,0,25.214285571428572,82.08399285714286,3
2020-01-23,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.55158714285714,23.75,32.5,46.99,0,25.373015857142857,83.08753885714286,4
2020-01-30,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.956349285714285,25.0,33.0,6.731,0,25.730158714285714,82.81685014285713,5
2020-02-06,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.28571414285714,22.5,32.5,50.546,0,24.91666657142857,82.10617342857142,6
2020-02-13,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.210317428571425,24.5,32.0,66.167,0,25.02777785714286,82.9753637142857,7
2020-02-20,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.65079342857143,24.25,32.305556,15.494,0,25.400793571428572,82.66731614285713,8
2020-02-27,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.543650857142858,24.138889,32.5,24.892000000000003,0,25.448412714285716,83.44800314285715,9
2020-03-05,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.972222285714285,25.0,33.25,11.049,0,25.563492,81.99518400000001,10
2020-03-12,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.71428585714286,24.5,33.0,56.515,0,25.289682571428575,81.91752242857142,11
2020-03-19,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.126984142857143,24.5,33.0,93.345,0,25.60317471428571,81.46247642857143,12
2020-03-26,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.615079285714284,24.0,32.0,101.092,0,24.46825385714286,83.15071128571428,13
2020-04-02,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.464285714285715,23.944444,32.5,16.002,0,25.515873,79.42378257142857,14
2020-04-09,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.25396814285714,24.0,32.388889,42.037000000000006,0,25.214285999999998,83.710085,15
2020-04-16,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.484126857142858,24.611111,32.0,139.7,0,25.472222285714285,83.97933571428572,16
2020-04-23,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,4.0,0.0,28.055555714285713,23.861111,32.055556,111.76,0,24.980158714285714,83.53056885714285,17
2020-04-30,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,10.0,0.0,28.400793571428572,23.0,32.0,10.287,0,25.392857,84.01907557142856,18
2020-05-07,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,147.0,1.0,28.865079428571427,25.5,32.0,9.271,0,25.74206342857143,83.42111271428571,19
2020-05-14,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,70.0,5.0,27.964285714285715,25.0,32.388889,96.012,0,25.357142857142858,85.82605385714285,20
2020-05-21,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,47.0,1.0,28.289682571428575,25.444444,32.0,0.635,0,25.246031857142857,83.6847622857143,21
2020-05-28,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,181.0,2.0,28.206349285714285,24.75,31.0,7.874,0,25.246031857142857,84.07187671428572,22
2020-06-04,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,46.0,0.0,27.769841142857143,24.5,31.0,0.0,0,24.325396714285716,81.61921357142857,23
2020-06-11,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,141.0,0.0,26.892857285714285,23.5,31.0,91.948,0,24.00793642857143,84.356744,24
2020-06-18,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,43.0,0.0,25.571428571428573,23.0,28.0,0.0,0,22.742063714285713,84.5078297142857,25
2020-06-25,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,19.0,0.0,26.15873014285714,23.777778,29.0,0.0,0,22.88095242857143,82.23299271428571,26
2020-07-02,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,7.0,0.0,25.579365,23.0,28.5,0.0,0,22.10317457142857,81.21908457142857,27
2020-07-09,ST,Q1039,São Tomé and Príncipe,219161,0.316667,6.6,0,0,0,0,0,0,0,0,0,0,8.0,1.0,25.964285571428572,24.0,29.0,0.0,0,22.964285571428572,83.64631014285715,28
