date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.525,20.75,30.152778,0.0635,0,22.466666500000002,83.540147,1
2020-01-09,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.266402,20.3,29.25,0.7112,0,21.524074000000002,80.21516999999999,2
2020-01-16,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.40158728571429,20.655556,28.744444,51.375733,0,21.364550285714284,83.78381942857142,3
2020-01-23,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.482539571428568,20.2,29.25,15.5702,0,20.277777714285715,78.19508142857144,4
2020-01-30,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.834391714285715,19.577778,29.37037,3.386667,0,20.346825428571428,76.91109528571428,5
2020-02-06,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.503968142857143,21.537037,30.25,7.298267000000001,0,21.030423428571428,77.1344007142857,6
2020-02-13,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.968254,22.287037,29.916667,10.151533,0,21.038359857142858,74.77932357142858,7
2020-02-20,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.521164142857142,21.522222,29.477778,2.277533,0,20.835978714285716,75.90148471428571,8
2020-02-27,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.034391571428568,20.546296,29.953704,6.620933000000001,0,20.09523814285714,74.84658542857143,9
2020-03-05,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.675926,20.583333,30.0,43.3832,0,20.23544957142857,77.13455114285715,10
2020-03-12,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.191799,19.877778,29.787037,32.368066,0,19.628306714285713,76.49966328571429,11
2020-03-19,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.715608428571425,19.833333,28.166667,2.5908,0,19.490740857142857,73.4034467142857,12
2020-03-26,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,2.0,0.0,25.250000142857143,20.583333,29.583333,4.0386,0,19.34259271428571,70.4913267142857,13
2020-04-02,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,3.0,0.0,26.054232857142857,20.305556,30.527778,0.762,0,20.560052714285714,72.26350628571429,14
2020-04-09,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,3.0,1.0,26.216005285714285,22.055556,29.972222,0.084667,0,20.72698414285714,72.50633614285714,15
2020-04-16,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,3.0,0.0,27.608994571428575,23.2,31.5,0.0,0,22.278836000000002,73.129211,16
2020-04-23,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.966005428571428,22.569444,33.722222,0.0,0,21.926587428571427,70.12569342857144,17
2020-04-30,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,1.0,0.0,28.328307,22.7,32.333333,0.0,0,21.98148142857143,68.73531328571428,18
2020-05-07,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.12989442857143,23.1,32.930556,1.769533,0,22.660714428571428,72.55662428571428,19
2020-05-14,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.958730285714285,23.875,33.902778,0.889,0,22.818121714285716,69.7328032857143,20
2020-05-21,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.05502642857143,24.6,33.222222,0.0,0,22.459788428571432,67.89829242857142,21
2020-05-28,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.811111,23.0,33.3,0.4064,0,23.370635,72.73407228571429,22
2020-06-04,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.612698571428574,23.155556,32.981481,8.7376,0,22.658465714285715,70.58398785714286,23
2020-06-11,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.11137557142857,24.0,33.648148,0.0,0,22.73783057142857,68.79859628571428,24
2020-06-18,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.929365142857144,24.0,33.522222,10.723033,0,23.44021157142857,72.54596228571428,25
2020-06-25,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,4.0,0.0,29.804761714285714,25.6,33.522222,0.0,0,23.674338714285714,69.89426685714285,26
2020-07-02,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,28.0,1.0,29.211640142857142,25.333333,32.953704,1.058333,0,23.841269714285716,73.08902114285715,27
2020-07-09,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,22.0,0.0,29.661375857142854,25.703704,34.377778,2.0828,0,23.85582014285714,71.25879114285713,28
2020-07-16,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,8.0,0.0,29.460185,24.268519,33.361111,14.469532999999998,0,23.743650857142857,71.65055557142857,29
2020-07-23,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,16.0,0.0,28.97645514285714,24.855556,32.935185,0.541867,0,23.448942,72.43736914285715,30
2020-07-30,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,17.0,0.0,28.45264542857143,23.203704,33.652778,6.9215,0,24.180555571428574,78.09301614285714,31
2020-08-06,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,34.0,0.0,28.715608428571432,24.240741,32.666667,59.097334000000004,0,24.28968242857143,77.42270014285714,32
2020-08-13,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,117.0,0.0,29.187301714285717,25.398148,32.6,2.167467,0,23.893915571428572,73.5355052857143,33
2020-08-20,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,76.0,0.0,29.146560714285716,25.277778,32.87037,0.677333,0,24.219312142857145,75.17145757142858,34
2020-08-27,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,148.0,1.0,28.140740714285716,23.333333,32.62037,14.308667,0,24.144709142857145,79.57153428571428,35
2020-09-03,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,95.0,2.0,29.03836,25.203704,32.644444,9.7028,0,24.223545,75.78720957142856,36
2020-09-10,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,61.0,0.0,28.35634914285714,23.935185,32.622222,0.9144,0,23.851058285714284,76.82235,37
2020-09-17,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,25.0,0.0,28.35555557142857,23.6,33.1,0.254,0,23.915873,77.13311585714287,38
2020-09-24,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,16.0,0.0,28.171428428571428,23.922222,32.5,11.802533,0,23.771428571428572,77.35302771428572,39
2020-10-01,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,11.0,1.0,28.134920571428573,23.822222,33.0,0.9905999999999999,0,23.60317457142857,76.796948,40
2020-10-08,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,5.0,0.0,28.136507857142856,23.0,32.677778,1.9558,0,23.388889,75.78583928571427,41
2020-10-15,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,1.0,0.0,28.62380942857143,23.566667,32.8,0.762,0,23.812963,75.48759771428571,42
2020-10-22,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,3.0,0.0,28.15687828571429,23.416667,33.066667,1.761067,0,23.29391542857143,75.26484414285713,43
2020-10-29,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,4.0,0.0,28.398941714285716,24.333333,33.822222,4.055533,0,23.519312285714285,75.26539628571429,44
2020-11-05,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,2.0,0.0,27.22142857142857,23.083333,31.722222,5.4991,0,22.996031714285714,78.22002985714286,45
2020-11-12,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,11.0,0.0,26.59126985714286,23.166667,30.62963,29.514801,0,23.224867714285715,82.23412128571428,46
2020-11-19,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,10.0,0.0,26.27645514285714,22.322222,30.083333,1.278467,0,22.224867714285715,78.99636614285714,47
2020-11-26,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,20.0,0.0,25.95,22.037037,29.564815,37.812134,0,22.22169314285714,80.41771114285714,48
2020-12-03,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,5.0,0.0,25.292857,19.9,29.361111,0.7196670000000001,0,20.751587285714287,76.79034242857144,49
2020-12-10,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,17.0,0.0,24.988095285714284,20.5,30.027778,23.1521,0,20.905555714285715,78.80049557142857,50
2020-12-17,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,13.0,0.0,24.949471,20.037037,29.916667,15.934267,0,21.260053,80.64131214285715,51
2020-12-24,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,48.0,0.0,25.275132142857142,21.347222,29.2,6.5659,0,21.665873,80.94634714285714,52
2020-12-31,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,64.0,0.0,24.646825571428572,20.712963,28.87037,7.8316669999999995,0,20.59126985714286,78.77719957142857,53
2021-01-07,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,63.0,0.0,24.182539714285717,18.87037,28.037037,5.334,0,19.16269857142857,74.52068657142857,1
2021-01-14,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,106.0,0.0,25.168253857142854,19.6,29.6,1.0795,0,21.327513142857146,79.58510414285715,2
2021-01-21,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,131.0,1.0,24.80317457142857,19.422222,29.522222,3.5686999999999998,0,21.134920571428573,80.36949228571429,3
2021-01-28,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,242.0,1.0,24.600396857142858,19.477778,29.077778,0.3556,0,20.005555428571427,76.16171057142857,4
2021-02-04,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,155.0,1.0,23.12380942857143,19.7,29.5,15.248466,0,18.947619,78.98440057142857,5
2021-02-11,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,222.0,3.0,24.611507999999997,20.0,29.855556,3.0988,0,21.230555714285714,81.97405071428571,6
2021-02-18,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,172.0,1.0,25.770370333333332,20.8,29.722222,1.7652999999999999,0,20.840740666666665,74.60223633333334,7
2021-02-25,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,104.0,1.0,24.512963166666665,19.962963,29.177778,6.477,0,20.448302333333334,78.71748333333333,8
2021-03-04,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,73.0,0.0,25.153968285714285,20.972222,29.944444,3.3528,0,19.966931285714285,73.55900128571429,9
2021-03-11,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,39.0,1.0,24.796296285714284,20.703704,30.62963,90.2462,0,20.587566285714285,78.19385471428572,10
2021-03-18,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,74.0,0.0,24.363227571428574,19.6,28.287037,5.380567,0,19.134391571428573,73.46856614285714,11
2021-03-25,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,44.0,2.0,25.72962957142857,20.046296,29.75,3.4036,0,20.619841285714283,73.81336242857142,12
2021-04-01,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,19.0,0.0,25.666402,21.044444,30.0,3.014133,0,20.914550285714284,75.50991942857142,13
2021-04-08,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,7.0,0.0,24.179365142857144,21.044444,30.844444,42.418,0,19.733333285714284,77.54484014285715,14
2021-04-15,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,23.0,0.0,25.108730285714284,20.177778,30.2,0.0,0,19.363888857142857,71.18553471428571,15
2021-04-22,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,8.0,0.0,26.749206285714283,21.377778,32.322222,0.0,0,21.622222142857144,73.87007585714287,16
2021-04-29,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,13.0,0.0,26.47380957142857,21.655556,31.3,10.8712,0,21.589682571428572,75.13382742857142,17
2021-05-06,TC,Q18221,Turks and Caicos Islands,38718,21.78,-71.8,0,0,0,0,0,0,0,0,0,0,14.0,0.0,26.67857157142857,21.4,31.75,0.1016,0,21.43492057142857,73.29842628571429,18
