date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.488889,23.438889,34.094444,0.0,0,20.4138885,61.8369365,1
2020-01-09,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.015079571428572,22.827778,35.722222,0.0,0,20.942063285714287,61.92784557142857,2
2020-01-16,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.24285714285714,24.261111,35.533333,6.0706,0,23.516666714285716,71.46084814285715,3
2020-01-23,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.227777714285715,24.416667,34.844444,0.1778,0,23.71031757142857,72.35680928571428,4
2020-01-30,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,28.488889,22.55,34.455556,0.1524,0,21.438095428571426,65.96854614285715,5
2020-02-06,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,28.15238114285714,21.538889,34.344444,0.0762,0,21.467460285714285,67.285679,6
2020-02-13,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.296825428571427,23.833333,35.922222,0.2032,0,21.95476185714286,65.21949485714286,7
2020-02-20,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.069047571428573,22.75,36.522222,3.129844,0,20.261111142857143,59.51152242857143,8
2020-02-27,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.023015714285716,22.955556,35.466667,7.58825,0,19.630952285714283,57.977590571428564,9
2020-03-05,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,29.73809514285714,25.011111,35.138889,0.6096,0,23.807936428571427,70.71361842857142,10
2020-03-12,TH,Q869,Thailand,69799978,14.0,101.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,25.0,0.0,30.53730142857143,25.416667,37.816667,1.4224,0,23.684127,67.34499157142857,11
