date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7138885,-0.738889,11.111111,0.07619999999999999,0.0,1.461111,79.705726,1
2020-01-09,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,3.5738095714285714,-2.111111,12.605556,12.134345999999999,0.0,-0.3968252857142857,76.33464185714286,2
2020-01-16,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,1.6444444285714286,-4.755556,10.472222,7.507111,574.886667,-2.0738097142857144,77.05331885714286,3
2020-01-23,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,1.536508,-5.244444,11.072222,7.309556000000001,392.43,-1.9992062857142856,77.9545047142857,4
2020-01-30,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,3.008730285714286,-4.561111,11.861111,2.291644,198.12,-1.6531744285714287,71.94476257142857,5
2020-02-06,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,7.680158714285715,-0.355556,19.138889,3.493911,538.48,-0.11269842857142853,60.02944371428571,6
2020-02-13,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,8.102381,-1.85,25.438889,12.32535,171.026667,-0.33015871428571436,61.336446714285714,7
2020-02-20,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,5.3833332857142855,-1.822222,15.466667,2.973917,125.73,-1.2126984285714286,63.516474714285714,8
2020-02-27,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,9.429365,-0.205556,23.888889,21.316244,103.293333,4.040476285714286,70.58759757142857,9
2020-03-05,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,8.819047571428571,-0.811111,21.844444,16.617244,336.54999999999995,2.392063285714286,65.62368071428571,10
2020-03-12,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,7.160317428571429,-3.238889,21.094444,0.30479999999999996,99.06,-4.192857,45.335475571428574,11
2020-03-19,TM,Q874,Turkmenistan,6031187,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,27.78,0.0,0.0,15.830158714285714,5.25,26.227778,0.9990669999999999,0.0,5.163492285714286,50.481858571428575,12
2020-03-26,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,50.93,0.0,0.0,11.105555714285714,5.216667,17.127778,13.530439000000001,0.0,4.319841285714285,66.059352,13
2020-04-02,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,50.93,0.0,0.0,14.187301571428572,2.916667,25.122222,9.8679,0.0,4.786507857142857,55.34494571428571,14
2020-04-09,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,45.37,0.0,0.0,11.550793714285714,-1.166667,24.633333,23.543481999999997,204.47,5.730952285714286,69.007785,15
2020-04-16,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,45.37,0.0,0.0,12.908730142857143,3.205556,23.533333,15.6845,0.0,6.096031571428571,65.32372142857143,16
2020-04-23,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,45.37,0.0,0.0,20.629365142857143,9.594444,31.416667,0.2032,0.0,8.423015857142857,46.600531571428576,17
2020-04-30,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,31.48,0.0,0.0,18.984127142857144,11.977778,32.972222,15.527867,0.0,11.473809428571428,63.30382185714286,18
2020-05-07,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,31.48,0.0,0.0,21.76269842857143,13.483333,32.772222,12.740217,0.0,12.781746,58.545266285714284,19
2020-05-14,TM,Q874,Turkmenistan,6031187,39.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,31.48,0.0,0.0,20.619047571428574,12.161111,31.266667,12.482286,0.0,10.664285714285715,54.77392771428571,20
