date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011111,-0.016667,4.877778,2.5258890000000003,30.48,-0.19166700000000003,85.626274,1
2020-01-09,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0325397142857144,-4.288889,8.138889,5.463721,183.72666700000002,-1.5849205714285712,77.97056099999999,2
2020-01-16,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9285715714285715,-6.283333,8.244444,0.0508,45.72,-3.7809522857142857,71.32648785714285,3
2020-01-23,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.85,-6.161111,4.572222,13.670843999999999,305.985334,-5.349999857142857,72.39689342857143,4
2020-01-30,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78,0.0,0.0,2.0190477142857146,-9.472222,9.55,8.676216,329.565,-4.249206285714286,64.86477728571428,5
2020-02-06,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.33,0.0,0.0,3.75,-5.783333,11.783333,32.758239,345.228333,-0.2293651428571428,76.37047257142856,6
2020-02-13,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,-3.6373015714285715,-14.372222,5.072222,42.065222,746.506,-7.168253857142857,77.56605557142858,7
2020-02-20,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,1.047618857142857,-8.811111,9.688889,2.2606,958.342,-4.3666667142857145,68.25375371428571,8
2020-02-27,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,5.4555555714285715,-3.7,14.733333,5.897336,531.495,-0.40714300000000014,68.43709014285714,9
2020-03-05,TR,Q43,Turkey,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.44,0.0,0.0,8.02142857142857,-3.094444,19.25,5.866694,20.32,-0.5555555714285714,57.11090585714286,10
