date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.583333,26.0,32.5,7.112,0,25.361111,78.1027995,1
2020-01-09,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.690476285714286,25.0,33.388889,45.466,0,25.650793714285715,79.04300142857143,2
2020-01-16,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.948412714285716,25.0,33.111111,32.512,0,25.66269828571429,82.55296499999999,3
2020-01-23,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.250000142857143,23.722222,32.222222,311.023,0,25.519841285714286,85.20435642857144,4
2020-01-30,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.944444428571426,24.25,33.0,26.797,0,25.039682714285714,78.96620671428572,5
2020-02-06,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.940476142857143,25.0,33.25,109.474,0,25.329365,80.94708685714285,6
2020-02-13,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.57142842857143,25.0,32.0,88.9,0,25.484127142857144,83.44387671428571,7
2020-02-20,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.000000142857143,24.583333,32.222222,260.22299999999996,0,25.32142842857143,85.48501714285715,8
2020-02-27,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.587301571428572,25.111111,32.222222,90.424,0,25.587301571428572,83.8910802857143,9
2020-03-05,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.428571428571427,23.111111,34.0,30.607,0,25.595237714285712,79.97048085714286,10
2020-03-12,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.218254,24.5,32.833333,98.80600000000001,0,25.21428585714286,79.14483614285714,11
2020-03-19,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.15873014285714,25.888889,34.907407,10.922,0,24.936507714285714,73.7418992857143,12
2020-03-26,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.857142857142858,25.361111,33.611111,47.498,0,25.626984,78.14228871428573,13
2020-04-02,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.178571285714288,25.277778,33.5,39.624,0,25.84523814285714,77.70723542857142,14
2020-04-09,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.730158714285714,25.611111,33.5,32.512,0,25.46031757142857,77.93162242857143,15
2020-04-16,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.936508,25.055556,34.0,35.179,0,25.571428571428573,77.51629171428571,16
2020-04-23,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.944444285714287,24.777778,34.5,18.288,0,25.666666714285714,77.99986628571428,17
2020-04-30,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.071428571428573,24.0,34.0,19.304,0,25.373016,76.06041057142856,18
2020-05-07,TV,Q672,Tuvalu,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.230158857142857,26.722222,34.0,23.622,0,25.428571285714288,75.59567585714285,19
