date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,24.5,23.25,26.694444,0.0,0,16.5,60.310297,1
2020-01-09,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.41666657142857,23.305556,28.666667,0.0,0,21.468254,78.51294,2
2020-01-16,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.246031714285714,22.694444,29.138889,0.0,0,20.341269714285716,74.28053685714285,3
2020-01-23,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.753968142857143,23.166667,29.694444,0.0,0,21.619047571428574,77.70746685714286,4
2020-01-30,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,24.74603185714286,23.055556,27.361111,0.0,0,17.984127,65.90215685714286,5
2020-02-06,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.09126985714286,21.694444,30.916667,0.0,0,19.730158714285714,71.61736828571428,6
2020-02-13,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.182539714285717,22.194444,30.055556,0.0,0,19.261904714285716,69.22849042857142,7
2020-02-20,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,24.579365,22.083333,27.916667,0.0,0,18.30952385714286,67.65195171428572,8
2020-02-27,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.392857142857142,21.861111,29.5,0.0,0,20.83333342857143,74.72642957142857,9
2020-03-05,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.972222285714285,22.888889,30.916667,0.0,0,21.968254,77.50316771428572,10
2020-03-12,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.936507857142857,22.805556,30.25,0.0,0,20.658730285714284,71.25615485714286,11
2020-03-19,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.78174614285714,23.305556,28.388889,0.0,0,21.083333333333332,74.156266,12
2020-03-26,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.313492,22.5,29.861111,0.0,0,20.611111142857144,74.29497228571428,13
2020-04-02,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.801587285714284,23.222222,28.805556,0.0,0,21.02380957142857,73.75264614285713,14
2020-04-09,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,25.555555571428574,23.472222,28.444444,0.0,0,19.190476285714286,66.80031814285714,15
2020-04-16,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,26.567460285714283,24.0,29.916667,0.0,0,21.055555333333334,70.139649,16
2020-04-23,UM,Q16645,United States Minor Outlying Islands,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,0,0,26.428571285714288,24.5,27.75,0.0,0,,,17
