date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.458951,18.733333,25.777778,0.79375,0.0,17.9475305,76.06050300000001,1
2020-01-09,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.222927714285714,15.588889,32.688889,4.240389,0.0,15.292063428571428,58.57453671428571,2
2020-01-16,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.069576857142856,15.594444,32.888889,24.821444000000003,0.0,15.743827142857143,61.25670914285714,3
2020-01-23,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.845414428571427,12.783333,33.627778,6.824133,0.0,17.20740742857143,63.27102571428571,4
2020-01-30,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.78359785714286,11.194444,31.172222,6.050845,0.0,16.113139285714286,62.622634,5
2020-02-06,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41446214285714,12.566667,35.533333,0.0,0.0,18.001763571428572,60.26198585714286,6
2020-02-13,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.463139428571427,14.033333,34.172222,5.869517,0.0,16.175308714285713,64.32048771428572,7
2020-02-20,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.507848428571428,16.641975,34.345679,38.901914,0.0,17.736948714285713,66.73211085714286,8
2020-02-27,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.161904571428572,10.888889,29.746914,0.6152439999999999,0.0,11.970723142857143,59.837128428571425,9
2020-03-05,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.641005285714282,14.388889,32.566667,0.028222,0.0,16.368959285714286,60.844036857142854,10
2020-03-12,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.093474571428573,15.796296,34.066667,13.857816,0.0,17.454321,67.43177928571428,11
2020-03-19,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,54.63,94.0,0.0,21.559082857142858,12.477778,33.083333,31.665133,0.0,16.995679142857142,75.88353457142857,12
2020-03-26,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,57.41,144.0,0.0,23.312433857142857,13.030864,32.561728,1.778,0.0,16.308201,65.632547,13
2020-04-02,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,72.22,131.0,4.0,22.60079357142857,16.666667,30.383333,29.897917,25.4,18.219753,76.7239372857143,14
2020-04-09,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,72.22,104.0,3.0,17.702557428571428,10.005556,26.685185,1.1888610000000002,0.0,11.070634714285715,65.498038,15
2020-04-16,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,72.22,29.0,2.0,17.22175928571429,9.766667,24.419753,25.192567,40.64,12.751300714285716,75.343604,16
2020-04-23,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,62.96,55.0,3.0,19.175396857142857,11.432099,28.427778,0.0,0.0,14.333686,74.08815742857142,17
2020-04-30,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,86.0,5.0,19.15282214285714,12.072222,26.488889,45.457936000000004,104.13999999999999,14.758377285714285,76.38787442857142,18
2020-05-07,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,41.0,0.0,14.848412857142858,7.820988,21.5,5.750278,0.0,10.507517857142858,75.55338185714287,19
