date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.4854495,2.626984,14.783951,0.0,0,1.7782185,63.257937,1
2020-01-09,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.512723714285714,1.62963,15.460317,0.0,0,1.8421515714285712,64.02613071428571,2
2020-01-16,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.813429142857142,2.851852,14.814815,0.028222,0,3.9640968571428568,72.09920485714285,3
2020-01-23,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.902746142857143,2.709877,15.679012,13.010444000000001,0,4.922776571428571,72.22295057142857,4
2020-01-30,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.135802285714286,4.388889,15.753086,5.088063,0,7.984001142857143,81.20237557142858,5
2020-02-06,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.982489142857144,3.802469,17.962963,0.594279,0,5.504535,69.16487485714286,6
2020-02-13,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.858818142857144,1.462963,18.012346,1.760361,0,5.291093428571428,70.06199828571428,7
2020-02-20,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.339065285714286,3.544444,18.228395,2.948214,0,5.730599571428572,69.81330385714286,8
2020-02-27,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.819601714285714,3.12963,16.987654,1.636889,0,6.526707,71.20808642857143,9
2020-03-05,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,1.0,0.0,12.150667857142858,4.32716,17.123457,18.836216999999998,0,5.834718857142858,67.21370271428572,10
2020-03-12,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.931342857142857,3.932099,17.537037,6.579306,0,5.634920571428572,66.36726785714286,11
2020-03-19,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13.259259142857143,6.203704,19.197531,0.0,0,7.885109571428572,71.181719,12
2020-03-26,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,3.0,0.0,10.390400571428572,1.080247,17.928571,12.5476,0,2.276896,59.12980657142857,13
2020-04-02,VA,Q237,Vatican City,809,41.904,12.453,0,0,0,0,0,0,0,0,0,0,3.0,0.0,11.261148857142857,2.104938,17.209877,1.75381,0,5.123330714285714,67.43326842857142,14
