date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.8796295,23.833333,30.537037,0.762,0,22.9027775,79.8869785,1
2020-01-09,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.119047571428574,24.148148,31.537037,14.139333,0,24.265873142857142,80.77835057142856,2
2020-01-16,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.092592857142854,23.962963,31.481481,104.648,0,25.119047714285717,89.81993,3
2020-01-23,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.944444428571426,24.0,30.972222,190.754,0,24.285714285714285,85.7745687142857,4
2020-01-30,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.493386285714283,23.388889,31.444444,10.921999999999999,0,23.865079285714284,81.03649371428571,5
2020-02-06,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.170634857142858,23.916667,32.462963,14.012333,0,24.547619,80.44582457142857,6
2020-02-13,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.829365,25.138889,31.444444,41.402,0,25.075396714285716,85.06361314285714,7
2020-02-20,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.73015857142857,24.527778,32.0,65.65899999999999,0,24.33730171428571,81.988125,8
2020-02-27,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.813492142857143,23.5,32.611111,2.286,0,23.56746014285714,77.96274771428571,9
2020-03-05,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.190476285714286,24.722222,31.722222,2.286,0,25.087301571428572,83.34555,10
2020-03-12,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.503968285714286,24.0,31.361111,87.757,0,25.079364857142856,86.77522142857143,11
2020-03-19,WF,Q35555,Wallis and Futuna,11246,-14.30181,-178.10932,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.989418,23.444444,31.407407,16.637,0,24.537037142857145,81.71822642857141,12
