date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.020833,22.791667,31.907407,6.4135,0,23.729166499999998,82.272279,1
2020-01-09,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.220238,22.166667,32.166667,29.146501,0,24.738756714285717,81.48744242857143,2
2020-01-16,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.462963000000002,24.203704,32.069444,98.657833,0,24.788359714285715,85.5278502857143,3
2020-01-23,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.013888857142856,24.537037,29.87037,271.568333,0,24.957010571428572,88.61914628571428,4
2020-01-30,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.735449999999997,24.037037,32.361111,50.800000000000004,0,24.994709,85.16933471428571,5
2020-02-06,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.811375714285713,23.344444,32.222222,66.3956,0,24.604497285714285,82.86400742857143,6
2020-02-13,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.989418,24.12963,31.861111,173.185666,0,24.665343714285715,87.21851185714286,7
2020-02-20,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.699074,23.777778,29.87037,258.720167,0,24.675926,88.26533857142856,8
2020-02-27,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.112830714285714,22.844444,31.944444,203.1238,0,24.765344,86.18983128571429,9
2020-03-05,WS,Q683,Samoa,198410,-13.745,-172.2175,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.321428571428573,23.569444,34.513889,20.1295,0,24.919312285714284,84.63928314285714,10
