date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,calendar_week
2020-01-02,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,25.416666499999998,20.888889,31.111111,0.0,0.0,17.416666499999998,61.5158915,1
2020-01-09,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.611111,19.0,33.611111,22.86,0.0,18.809523714285714,74.60305500000001,2
2020-01-16,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.698412714285716,18.0,29.0,74.168,0.0,19.277778,86.30074071428571,3
2020-01-23,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.674603285714284,17.0,29.0,57.912,0.0,19.111111,80.623821,4
2020-01-30,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.753968285714286,16.0,31.0,0.0,0.0,16.52380942857143,68.30331814285714,5
2020-02-06,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.71428585714286,17.0,28.0,1.016,0.0,17.857142857142858,78.86665285714285,6
2020-02-13,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.80158714285714,10.0,29.388889,25.908,0.0,18.539682571428575,81.80535357142857,7
2020-02-20,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.650793714285715,18.0,29.0,68.072,0.0,19.23809542857143,81.17659014285714,8
2020-02-27,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,22.563492142857143,16.888889,30.0,0.0,0.0,18.690476285714286,78.87529328571429,9
2020-03-05,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,21.15873014285714,15.888889,28.111111,13.97,0.0,17.349206285714285,78.99696342857143,10
2020-03-12,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,22.031745857142855,14.0,29.388889,0.0,0.0,16.452381,70.6668372857143,11
2020-03-19,ZM,Q953,Zambia,18383956,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.67,0.0,0.0,22.357142857142858,16.0,31.0,7.874,0.0,17.515873,74.23921414285714,12
2020-03-26,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,36.11,20.0,0.0,22.472222333333335,15.722222,29.0,0.0,0.0,17.861111166666667,75.39483016666667,13
2020-04-02,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,47.22,17.0,0.0,20.777778,15.222222,27.0,0.0,0.0,14.611111,67.799421,14
2020-04-09,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,2.0,50.93,1.0,1.0,21.952381,12.388889,31.0,2.032,0.0,15.198412857142857,65.92728457142857,15
2020-04-16,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,65.28,12.0,0.0,22.611111142857144,15.0,31.0,5.08,0.0,15.706349285714285,65.40770128571428,16
2020-04-23,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,65.28,32.0,1.0,20.611111142857144,12.0,30.0,0.0,0.0,12.563492,60.13437328571428,17
2020-04-30,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,65.28,25.0,0.0,20.960317285714286,13.0,30.0,0.0,0.0,10.976190285714285,53.19588142857143,18
2020-05-07,ZM,Q953,Zambia,18383956,-14.0,28.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,70.83,58.0,1.0,20.22222214285714,10.0,30.388889,0.0,0.0,11.777777714285715,58.49465257142857,19
