date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
2020-01-09,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
2020-01-16,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3
2020-01-23,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
2020-01-30,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5
2020-02-06,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6
2020-02-13,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7
2020-02-20,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8
2020-02-27,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9
2020-03-05,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,10
2020-03-12,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,11
2020-03-19,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,147.0,0.0,12
2020-03-26,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,212.0,1.0,13
2020-04-02,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,398.0,6.0,14
2020-04-09,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,197.0,6.0,15
2020-04-16,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,281.0,7.0,16
2020-04-23,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,429.0,8.0,17
2020-04-30,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,596.0,5.0,18
2020-05-07,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,902.0,11.0,19
2020-05-14,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1108.0,11.0,20
2020-05-21,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,2019.0,22.0,21
2020-05-28,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,2625.0,50.0,22
2020-06-04,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,3437.0,63.0,23
2020-06-11,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,3640.0,74.0,24
2020-06-18,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,3704.0,68.0,25
2020-06-25,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,4201.0,88.0,26
2020-07-02,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,3991.0,57.0,27
2020-07-09,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,3492.0,82.0,28
2020-07-16,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,3070.0,72.0,29
2020-07-23,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,2534.0,69.0,30
2020-07-30,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1845.0,49.0,31
2020-08-06,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1344.0,36.0,32
2020-08-13,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1310.0,32.0,33
2020-08-20,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1121.0,33.0,34
2020-08-27,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1010.0,22.0,35
2020-09-03,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1023.0,23.0,36
2020-09-10,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1026.0,16.0,37
2020-09-17,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1479.0,17.0,38
2020-09-24,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,1918.0,20.0,39
2020-10-01,AM,Q399,Armenia,2963234,0,0,0,0,0,0,0,0,0,0,0,0,2853.0,24.0,40
