date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1
2020-01-09,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2
2020-01-16,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3
2020-01-23,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,14.0,0.0,4
2020-01-30,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,6.0,0.0,5
2020-02-06,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,4.0,0.0,6
2020-02-13,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,3.0,1.0,7
2020-02-20,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,2.0,0.0,8
2020-02-27,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,1.0,0.0,9
2020-03-05,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,1.0,0.0,10
2020-03-12,AR,Q414,Argentina,44938712,-34.0,-64.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,39.0,2.0,11
2020-03-19,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0,75.0,103.0,2.0,12
2020-03-26,AR,Q414,Argentina,44938712,-34.0,-64.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,510.0,12.0,13
