date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,AW,Q21203,Aruba,106766,12.511063,-69.974224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-19,AW,Q21203,Aruba,106766,12.511063,-69.974224,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,33.33,5.0,0.0,12
2020-03-26,AW,Q21203,Aruba,106766,12.511063,-69.974224,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,44.44,23.0,0.0,13
2020-04-02,AW,Q21203,Aruba,106766,12.511063,-69.974224,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,85.19,34.0,0.0,14
2020-04-09,AW,Q21203,Aruba,106766,12.511063,-69.974224,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,85.19,24.0,0.0,15
2020-04-16,AW,Q21203,Aruba,106766,12.511063,-69.974224,3.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,1.0,88.89,10.0,2.0,16
