date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,4
2020-01-30,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11,0.0,0.0,5
2020-02-06,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11,0.0,0.0,6
2020-02-13,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.67,0.0,0.0,7
2020-02-20,BH,Q398,Bahrain,1701583,26.0675,50.551111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,8
2020-02-27,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,30.56,44.0,0.0,9
2020-03-05,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,30.56,16.0,0.0,10
2020-03-12,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,30.56,154.0,0.0,11
2020-03-19,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,66.67,83.0,1.0,12
2020-03-26,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,73.15,176.0,3.0,13
2020-04-02,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,78.7,200.0,0.0,14
2020-04-09,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,78.7,325.0,2.0,15
2020-04-16,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,746.0,1.0,16
2020-04-23,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,774.0,1.0,17
2020-04-30,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,652.0,0.0,18
2020-05-07,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,1274.0,0.0,19
2020-05-14,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,2139.0,4.0,20
2020-05-21,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,1831.0,0.0,21
2020-05-28,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,2035.0,3.0,22
2020-06-04,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,3386.0,7.0,23
2020-06-11,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,3878.0,14.0,24
2020-06-18,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,3203.0,21.0,25
2020-06-25,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,3889.0,16.0,26
2020-07-02,BH,Q398,Bahrain,1701583,26.0675,50.551111,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,3605.0,22.0,27
