date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
2020-02-27,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.89,23.0,0.0,9
2020-03-05,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,221.0,2.0,10
2020-03-12,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,1282.0,10.0,11
2020-03-19,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,5356.0,57.0,12
2020-03-26,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,7262.0,177.0,13
2020-04-02,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,6788.0,356.0,14
2020-04-09,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,4509.0,373.0,15
2020-04-16,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,2104.0,282.0,16
2020-04-23,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,1373.0,222.0,17
2020-04-30,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,73.15,863.0,126.0,18
2020-05-07,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,69.44,439.0,64.0,19
2020-05-14,CH,Q39,Switzerland,8544527,46.798562,8.231973,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,69.44,276.0,26.0,20
2020-05-21,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,58.33,178.0,23.0,21
2020-05-28,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,58.33,131.0,6.0,22
2020-06-04,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,58.33,103.0,0.0,23
2020-06-11,CH,Q39,Switzerland,8544527,46.798562,8.231973,0.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,55.56,118.0,3.0,24
