date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2020-01-09,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,6.0,0.0,11
2020-03-19,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,57.41,28.0,0.0,12
2020-03-26,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,138.0,0.0,13
2020-04-02,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,96.0,0.0,14
2020-04-09,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,310.0,2.0,15
2020-04-16,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,265.0,3.0,16
2020-04-23,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,306.0,8.0,17
2020-04-30,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,183.0,1.0,18
2020-05-07,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,80.56,269.0,5.0,19
2020-05-14,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,69.91,415.0,4.0,20
2020-05-21,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,69.91,324.0,5.0,21
2020-05-28,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,64.81,409.0,3.0,22
2020-06-04,CI,Q1008,Ivory Coast,26378275,8.0,-6.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,64.81,681.0,4.0,23
