date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4
2020-01-30,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5
2020-02-06,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,6
2020-02-13,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,7
2020-02-20,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,8
2020-02-27,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,9
2020-03-05,CR,Q800,Costa Rica,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,10
2020-03-12,CR,Q800,Costa Rica,5094114,10.0,-84.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,37.04,23.0,0.0,11
2020-03-19,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,62.96,64.0,1.0,12
2020-03-26,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,71.3,144.0,1.0,13
2020-04-02,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,2.0,75.0,165.0,0.0,14
2020-04-09,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,2.0,77.78,143.0,1.0,15
2020-04-16,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,4.0,2.0,77.78,103.0,1.0,16
2020-04-23,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,75.93,44.0,2.0,17
2020-04-30,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,81.48,33.0,0.0,18
2020-05-07,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,46.0,0.0,19
2020-05-14,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,65.0,2.0,20
2020-05-21,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,73.0,2.0,21
2020-05-28,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,97.0,0.0,22
2020-06-04,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,194.0,0.0,23
2020-06-11,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,344.0,2.0,24
2020-06-18,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,401.0,0.0,25
2020-06-25,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,72.22,745.0,0.0,26
2020-07-02,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,73.61,1339.0,5.0,27
2020-07-09,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,73.61,2462.0,8.0,28
2020-07-16,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,73.61,3061.0,17.0,29
2020-07-23,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,73.61,3583.0,38.0,30
2020-07-30,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,73.61,4161.0,60.0,31
2020-08-06,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,73.61,4155.0,60.0,32
2020-08-13,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,72.22,4684.0,72.0,33
2020-08-20,CR,Q800,Costa Rica,5094114,10.0,-84.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,72.22,4946.0,61.0,34
